Carinthia, koroška, SI013, Slovenj Gradec, 1041, 70588, 0.889, 
Central Sava, zasavska, SI015, Trbovlje, 264, 41606, 0.868, 
Central Slovenia, osrednjeslovenska, SI021, Ljubljana, 2555, 564527, 0.953, 
Coastal-Karst, obalno-kraška, SI024, Koper, 1044, 115016, 0.918, 
Drava, podravska, SI012, Maribor, 2170, 324104, 0.9, 
Gorizia, goriška, SI023, Nova Gorica, 2325, 117616, 0.908, 
Littoral-Inner Carniola, primorsko-notranjska, SI018, Postojna, 1456, 52544, 0.893, 
Lower Sava, posavska, SI016, Krško, 885, 70067, 0.889, 
Mura, pomurska, SI011, Murska Sobota, 1337, 114287, 0.874, 
Savinja, savinjska, SI014, Celje, 2384, 261851, 0.904, 
Southeast Slovenia, jugovzhodna Slovenija, SI017, Novo Mesto, 2675, 144032, 0.903, 
Upper Carniola, gorenjska, SI022, Kranj, 2137, 204670, 0.918, 
