name,alt_names,nssdca_id,norad_id,type,country,agency,program,manufacturer,mission_ref,mass_kg,power_source,dimensions,orbit_type,status
Sentinel-1A,,2014-016A,39634,satellite,European Union,ESA,Copernicus,Thales Alenia Space,Sentinel-1,2300,solar,,Sun-synchronous LEO,Active
Sentinel-2A,,2015-028A,40697,satellite,European Union,ESA,Copernicus,Airbus Defence and Space,Sentinel-2,1200,solar,,Sun-synchronous LEO,Active
Sentinel-3A,,2016-011A,41335,satellite,European Union,ESA/EUMETSAT,Copernicus,Thales Alenia Space,Sentinel-3,1250,solar,,Sun-synchronous LEO,Active
Sentinel-1B,,2016-025A,41456,satellite,European Union,ESA,Copernicus,Thales Alenia Space,Sentinel-1,2300,solar,,Sun-synchronous LEO,Retired
Sentinel-2B,,2017-013A,42063,satellite,European Union,ESA,Copernicus,Airbus Defence and Space,Sentinel-2,1200,solar,,Sun-synchronous LEO,Active
Sentinel-5P,,2017-064A,42969,satellite,European Union,ESA,Copernicus,Airbus Defence and Space,Sentinel-5P,820,solar,,Sun-synchronous LEO,Active
Sentinel-3B,,2018-039A,43437,satellite,European Union,ESA/EUMETSAT,Copernicus,Thales Alenia Space,Sentinel-3,1250,solar,,Sun-synchronous LEO,Active
Sentinel-6A,Michael Freilich,2020-086A,46984,satellite,European Union / United States,ESA/EUMETSAT/NASA/NOAA,Copernicus,Airbus Defence and Space,Sentinel-6,1440,solar,,LEO,Active
Sentinel-2C,,,,satellite,European Union,ESA,Copernicus,Airbus Defence and Space,Sentinel-2,1200,solar,,Sun-synchronous LEO,Active
Sentinel-1C,,,,satellite,European Union,ESA,Copernicus,Thales Alenia Space,Sentinel-1,2300,solar,,Sun-synchronous LEO,Active
Sentinel-4A,,,,payload aboard MTG-S1,European Union,ESA/EUMETSAT,Copernicus,OHB System,Sentinel-4,,solar,,Geostationary orbit,Active
Sentinel-5A,,,,payload aboard MetOp-SG,European Union,ESA/EUMETSAT,Copernicus,Airbus Defence and Space,Sentinel-5,,solar,,Sun-synchronous LEO,Active
Sentinel-1D,,,,satellite,European Union,ESA,Copernicus,Thales Alenia Space,Sentinel-1,2300,solar,,LEO,Active
Sentinel-6B,,,,satellite,European Union / United States,ESA/EUMETSAT/NASA/NOAA,Copernicus,Airbus Defence and Space,Sentinel-6,1440,solar,,LEO,Active
GSAT0101,Thijs,2011-060A,37846,satellite,European Union,ESA/EUSPA,Galileo,EADS Astrium / Thales Alenia Space,Galileo IOV,700,solar,3.02x1.58x1.59 m stowed,MEO,Active
GSAT0102,Natalia,2011-060B,37847,satellite,European Union,ESA/EUSPA,Galileo,EADS Astrium / Thales Alenia Space,Galileo IOV,700,solar,3.02x1.58x1.59 m stowed,MEO,Active
GSAT0103,,2012-055A,38857,satellite,European Union,ESA/EUSPA,Galileo,EADS Astrium / Thales Alenia Space,Galileo IOV,700,solar,3.02x1.58x1.59 m stowed,MEO,Active
GSAT0104,,2012-055B,38858,satellite,European Union,ESA/EUSPA,Galileo,EADS Astrium / Thales Alenia Space,Galileo IOV,700,solar,3.02x1.58x1.59 m stowed,MEO,Decommissioned
GSAT0201,Doresa,2014-050A,40128,satellite,European Union,ESA/EUSPA,Galileo,OHB System / SSTL,Galileo FOC Batch 1,730,solar,2.91x1.7x1.4 m stowed,MEO (eccentric),Not usable
