Community Name, Area [km2], Population (2020), Status, 
Andalusia, 87268, 8464411, Nationality, 
Aragon, 47719, 1329391, Nationality, 
Asturias, 10604, 1018784, Historical community, 
Balearic Islands, 4992, 1171543, Nationality, 
Basque Country, 7234, 2220504, Nationality, 
Canary Islands, 7447, 2175952, Nationality, 
Cantabria, 5321, 582905, Historical community, 
Castile and León, 94223, 2394918, Historical community, 
Castilla-La Mancha, 79463, 2045221, Region, 
Catalonia, 32114, 7780479, Nationality, 
Community of Madrid, 8028, 6779888, Region, 
Extremadura, 41634, 1063987, Region, 
Galicia, 29574, 2701819, Nationality, 
La Rioja, 5045, 319914, Region, 
Navarre, 10391, 661197, Nationality, 
Region of Murcia, 11313, 1511251, Region, 
Valencian Community, 23255, 5057353, Nationality, 
