Álava, 3037, Basque Country, Vitoria (Spanish) / Gasteiz (Basque), 
Albacete, 14924, Castilla-La Mancha, Albacete, 
Alicante, 5817, Valencian Community, Alicante / Alacant (Valencian), 
Almería, 8775, Andalusia, Almería, 
Asturias, 10604, Asturias, Oviedo, 
Ávila, 8050, Castile and León, Ávila, 
Badajoz, 21766, Extremadura, Badajoz, 
Balearic Islands, 4992, Balearic Islands, Palma, 
Barcelona, 7728, Catalonia, Barcelona, 
Burgos, 14292, Castile and León, Burgos, 
Cáceres, 19868, Extremadura, Cáceres, 
Cádiz, 7440, Andalusia, Cádiz, 
Cantabria, 5321, Cantabria, Santander, 
Castellón, 6636, Valencian Community, Castellón de la Plana / Castelló de la Plana (Valencian), 
Ceuta, 19, Ceuta, Ceuta, 
Ciudad Real, 19813, Castilla-La Mancha, Ciudad Real, 
Córdoba, 13771, Andalusia, Córdoba, 
Cuenca, 17140, Castilla-La Mancha, Cuenca, 
Gerona, 5910, Catalonia, Girona (Catalan) / Gerona (Spanish), 
Granada, 12647, Andalusia, Granada, 
Guadalajara, 12214, Castile-La Mancha, Guadalajara, 
Guipúzcoa, 1980, Basque Country, San Sebastián (Spanish) / Donostia (Basque), 
Huelva, 10128, Andalusia, Huelva, 
Huesca, 15636, Aragon, Huesca (Spanish language), 
Jaén, 13496, Andalusia, Jaén, 
La Coruña, 7950, Galicia, La Coruña (Spanish) / A Coruña (Galician), 
La Rioja, 5045, La Rioja, Logroño, 
Las Palmas, 4066, Canary Islands, Las Palmas, 
León, 15581, Castile and León, León, 
Lérida, 12172, Catalonia, Lleida (Catalan) / Lérida (Spanish), 
Lugo, 9856, Galicia, Lugo, 
Madrid, 8028, Madrid, Madrid, 
Málaga, 7306, Andalusia, Málaga, 
Melilla, 13, Melilla, Melilla, 
Murcia, 11314, Murcia, Murcia, 
Navarra, 10391, Navarra, Pamplona / Iruña (Basque), 
Orense, 7273, Galicia, Ourense (Galician) / Orense (Spanish), 
Palencia, 8052, Castile and León, Palencia, 
Pontevedra, 4495, Galicia, Pontevedra, 
Salamanca, 12350, Castile and León, Salamanca, 
Santa Cruz de Tenerife, 3381, Canary Islands, Santa Cruz de Tenerife, 
Segovia, 6921, Castile and León, Segovia, 
Sevilla, 14036, Andalusia, Seville / Sevilla (Spanish), 
Soria, 10306, Castile and León, Soria, 
Tarragona, 6303, Catalonia, Tarragona, 
Teruel, 14810, Aragon, Teruel, 
Toledo, 15370, Castilla-La Mancha, Toledo, 
Valencia, 10807, Valencian Community, Valencia / València (Valencian), 
Valladolid, 8110, Castile and León, Valladolid, 
Vizcaya, 2217, Basque Country, Bilbao, 
Zamora, 10561, Castile and León, Zamora, 
Zaragoza, 17274, Aragon, Zaragoza, 
