Line, From, To, 
U1, Heslach Vogelrain, Fellbach Lutherkirche, 
U2, Botnang, Neugereut, 
U3, Vaihingen Bf, Plieningen, 
U4, Hölderlinplatz, Untertürkheim Bf, 
U5, Killesberg, Leinfelden Neuer Markt, 
U6, Gerlingen, Flughafen/Messe, 
U7, Mönchfeld, Nellingen Ostfildern, 
U8, Vaihingen Bf, Nellingen Ostfildern, 
U9, Botnang, Hedelfingen, 
U11, NeckarPark (Stadion), NeckarPark (Stadion), 
U12, Dürrlewang, Neckargröningen Remseck, 
U13, Feuerbach Pfostenwäldle, Hedelfingen, 
U14, Vaihingen Bf, Mühlhausen, 
U15, Stammheim, Heumaden, 
U16, Giebel, Fellbach Lutherkirche, 
U19, NeckarPark (Stadion), Neugereut, 
