Governorate, Region, Capital, Area [km2], Population (2014), Population (2021), HASC, ISO 3166-2 code, FIPS, Pc, Population (1 of July 2014), Population (1 of July 2015), Population (1 of July 2016), Population (1 of July 2017), Population (1 of July 2018), Population (1 of July 2019), Population (1 of July 2020), Population (1 of July 2021), Population (1 of July 2022), 
Ariana, North East, Ariana, 482, 576088, 635222, TN.AN, TN-12, TS38, 20, 579260, 595769, 611885, 627142, 641433, 654315, 662695, 667354, 671724, 
Béja, North West, Béja, 3740, 303032, 319291, TN.BJ, TN-31, TS17, 90, 303446, 304845, 305455, 306005, 306399, 306782, 307507, 308148, 308502, 
Ben Arous, North East, Ben Arous, 761, 631842, 765712, TN.BA, TN-13, TS27, 1120, 634594, 648979, 663084, 676781, 689954, 701984, 710502, 715489, 719709, 
Bizerte, North East, Bizerte, 3750, 568219, 568219, TN.BZ, TN-23, TS18, 70, 569541, 575449, 580241, 584594, 588354, 591937, 595240, 597490, 599110, 
Gabès, South East, Gabès, 7166, 374300, 524634, TN.GB, TN-81, TS29, 60, 375333, 380630, 385724, 390569, 395091, 399265, 402691, 404829, 406284, 
Gafsa, South West, Gafsa, 7807, 337331, 344516, TN.GF, TN-71, TS30, 21, 337921, 341019, 344075, 346716, 348799, 350826, 352809, 354169, 354972, 
Jendouba, North West, Jendouba, 3102, 401477, 401477, TN.JE, TN-32, TS06, 81, 401903, 403124, 403316, 403460, 403587, 403863, 404338, 404738, 405010, 
Kairouan, Centre West, Kairouan, 6712, 570559, 576357, TN.KR, TN-41, TS03, 31, 571296, 575733, 580680, 585001, 588493, 591901, 596221, 599560, 601130, 
Kasserine, Centre West, Kasserine, 8260, 439243, 454944, TN.KS, TN-42, TS02, 12, 440061, 444114, 447870, 451338, 454430, 457353, 460819, 463497, 464979, 
Kebili, South West, Kebili, 22454, 156961, 177286, TN.KB, TN-73, TS31, 42, 157322, 159473, 161849, 164038, 165980, 167790, 169378, 170450, 171140, 
Kef, North West, Le Kef, 4965, 243156, 259811, TN.KF, TN-33, TS14, 71, 243581, 245054, 245748, 246149, 246189, 246313, 246820, 247289, 247562, 
Mahdia, Centre East, Mahdia, 2966, 410812, 436025, TN.MH, TN-53, TS15, 51, 412019, 418281, 424380, 429840, 434565, 439059, 443075, 445703, 447383, 
Manouba, North East, Manouba, 1137, 379518, 394131, TN.MN, TN-14, TS39, 1120, 380951, 388200, 395069, 402164, 409416, 415908, 420445, 423111, 425332, 
Medenine, South East, Medenine, 9167, 479520, 499210, TN.ME, TN-82, TS28, 41, 480921, 488012, 494741, 501056, 506821, 512164, 516385, 519075, 521181, 
Monastir, Centre East, Monastir, 1019, 548828, 583684, TN.MS, TN-52, TS16, 50, 550791, 560875, 570593, 579908, 588694, 596693, 602659, 606400, 609481, 
Nabeul, North East, Nabeul, 2788, 787920, 787920, TN.NB, TN-21, TS19, 80, 790694, 804551, 817502, 829962, 841806, 852668, 861261, 866839, 871323, 
Sfax, Centre East, Sfax, 7545, 955421, 995503, TN.SF, TN-61, TS32, 30, 958113, 970931, 982251, 992759, 1002024, 1010740, 1018135, 1022900, 1026462, 
Sidi Bouzid, Centre West, Sidi Bouzid, 7405, 429912, 438885, TN.SZ, TN-43, TS33, 91, 430899, 435905, 440665, 444825, 448273, 451612, 455062, 457537, 459061, 
Siliana, North West, Siliana, 4642, 223087, 204630, TN.SL, TN-34, TS22, 61, 223395, 224788, 225939, 226665, 226883, 227198, 227992, 228691, 228998, 
Sousse, Centre East, Sousse, 2669, 674971, 717864, TN.SS, TN-51, TS23, 40, 677501, 690465, 702917, 714694, 725648, 735745, 743278, 747887, 751663, 
Tataouine, South East, Tataouine, 38889, 149453, 149453, TN.TA, TN-83, TS34, 32, 149537, 149860, 150065, 150312, 150508, 150770, 151323, 151750, 151950, 
Tozeur, South West, Tozeur, 5593, 107912, 109194, TN.TO, TN-72, TS35, 22, 108188, 109593, 110930, 112162, 113254, 114275, 115119, 115675, 116098, 
Tunis, North East, Tunis, 288, 1056247, 1303271, TN.TU, TN-11, TS36, 1020, 1057782, 1063180, 1065858, 1068095, 1069579, 1071244, 1073248, 1075016, 1077125, 
Zaghouan, North East, Zaghouan, 2820, 176945, 175628, TN.ZA, TN-22, TS37, 11, 177434, 179804, 181947, 183988, 185898, 187663, 189176, 190127, 190729, 
