Edition, Year, Hosts, Start, End, Teams #, Teams, First place, Second Place, Third Place, Fourth Place, Notes
1, 1960, France, 6 July, 10 July, 4, France; Yugoslavia; Soviet Union; Czechoslovakia, Soviet Union, Yugoslavia, Czechoslovakia, France, 
2, 1964, Spain, 17 June, 21 June, 4, Denmark; Spain; Hungary; Soviet Union, Spain, Soviet Union, Hungary, Denmark, 
3, 1968, Italy, 5 June, 10 June, 4, Italy; Yugoslavia; England; Soviet Union, Italy, Yugoslavia, England, Soviet Union, 
4, 1972, Belgium, 14 June, 18 June, 4, Belgium; Soviet Union; West Germany; Hungary, West Germany, Soviet Union, Belgium, Hungary, 
5, 1976, Yugoslavia, 16 June, 20 June, 4, Czechoslovakia; Netherlands; West Germany; Yugoslavia (host), Czechoslovakia, West Germany, Netherlands, Yugoslavia, 
6, 1980, Italy, 11 June, 22 June, 8, Italy; Greece; England; Netherlands; Czechoslovakia; Spain; Belgium; West Germany, West Germany, Belgium, Czechoslovakia, Italy, 
7, 1984, France, 12 June, 27 June, 8, France; Belgium; Portugal; Denmark; West Germany; Romania; Yugoslavia; Spain, France, Spain, Denmark and  Portugal, , 
8, 1988, West Germany, 10 June, 25 June, 8, West Germany; Denmark; Soviet Union; England; Republic of Ireland; Italy; Spain; Netherlands, Netherlands, Soviet Union, Italy and  West Germany, , 
9, 1992, Sweden, 10 June, 26 June, 8, Sweden; France; England; CIS[B]; Scotland; Netherlands; Germany[D]; Denmark, Denmark, Germany, Netherlands and  Sweden, , 
10, 1996, England, 8 June, 30 June, 16, England; Spain; Russia; Switzerland; Croatia; Scotland; Bulgaria; Germany; Romania; Turkey; Denmark; Czech Republic; Italy; France; Portugal; Netherlands, Germany, Czech Republic, England and  France, , 
11, 2000, Belgium and Netherlands, 10 June, 2 July, 16, Belgium; Netherlands; Czech Republic; Norway; Sweden; Spain; Italy; Germany; France; Romania; FR Yugoslavia; Portugal; Denmark; England; Slovenia; Turkey, France, Italy, Netherlands and  Portugal, , 
12, 2004, Portugal, 12 June, 4 July, 16, Portugal; France; Czech Republic; Sweden; Bulgaria; Denmark; Germany; Greece; England; Italy; Switzerland; Croatia; Latvia; Netherlands; Spain; Russia, Greece, Portugal, Czech Republic and  Netherlands, , 
13, 2008, Austria and Switzerland, 7 June, 29 June, 16, Austria; Switzerland; Germany; Greece; Czech Republic; Romania; Poland; Italy; France; Croatia; Spain; Netherlands; Portugal; Turkey; Russia; Sweden, Spain, Germany, Russia and  Turkey, , 
14, 2012, Poland and Ukraine, 8 June, 1 July, 16, Poland; Ukraine; Germany; Italy; Netherlands; Spain; England; Russia; France; Greece; Denmark; Sweden; Croatia; Czech Republic; Portugal; Republic of Ireland, Spain, Italy, Germany and  Portugal, , 
15, 2016, France, 10 June, 11 July, 24, France; England; Czech Republic; Iceland; Austria; Northern Ireland; Portugal; Spain; Switzerland; Italy; Belgium; Wales; Romania; Albania; Germany; Poland; Russia; Slovakia; Croatia; Turkey; Hungary; Republic of Ireland; Sweden; Ukraine, Portugal, France, Germany and  Wales, , 
16, 2020, Pan-Europe, 11 June, 11 July, 24, Belgium; Italy; Russia; Poland; Ukraine; Spain; France; Turkey; England; Czech Republic; Finland; Sweden; Croatia; Austria; Netherlands; Germany; Portugal; Switzerland; Denmark; Wales; North Macedonia; Hungary; Slovakia; Scotland, Italy, England, Denmark and  Spain, , Played in 2021 due to Covid19
17, 2024, Germany, 14 June, 14 July, 24, Germany; Belgium; France; Portugal; Scotland; Spain; Turkey; Austria; England; Hungary; Slovakia; Albania; Denmark; Netherlands; Romania; Switzerland; Serbia; Czech Republic; Italy; Slovenia; Croatia; Georgia; Ukraine; Poland, Spain, England, France and  Netherlands, , 
18, 2028, England and Ireland and Scotland and Wales, 9 June, 9 July, 24, , , , , , 
19, 2032, Italy and Turkey, , , 24, , , , , , 
