ID, Name, Date, In Danger, Danger list, long, lat, Area [ha], Category, Countries, Region
1, "Galápagos Islands", 1978, 0, P 2007-2010, -90.501319, -0.68986, 14066514, Natural, "Ecuador", "Latin America and the Caribbean"
2, "City of Quito", 1978, 0, , -78.51208333, -0.22, 70.43, Cultural, "Ecuador", "Latin America and the Caribbean"
3, "Aachen Cathedral", 1978, 0, , 6.083919968, 50.77474685, 0.2, Cultural, "Germany", "Europe and North America"
4, "L’Anse aux Meadows National Historic Site", 1978, 0, , -55.55, 51.58472222, 7991, Cultural, "Canada", "Europe and North America"
8, "Ichkeul National Park", 1980, 0, P 1996-2006, 9.67472, 37.16361, 12600, Natural, "Tunisia", "Arab States"
9, "Simien National Park", 1978, 0, P 1996-2017, 38.06666667, 13.18333333, 13600, Natural, "Ethiopia", "Africa"
10, "Lower Valley of the Awash", 1980, 0, , 40.57939, 11.10006, 0, Cultural, "Ethiopia", "Africa"
12, "Tiya", 1980, 0, , 38.6121, 8.43491, 0, Cultural, "Ethiopia", "Africa"
13, "Melka Kunture and Balchit: Archaeological and Palaeontological Sites in the Highland Area of Ethiopia", 2024, 0, , 38.59908333, 8.703472222, , Cultural, "Ethiopia", "Africa"
15, "Aksum", 1980, 0, , 38.71861, 14.13019, 0, Cultural, "Ethiopia", "Africa"
17, "Lower Valley of the Omo", 1980, 0, , 35.96666667, 4.8, 0, Cultural, "Ethiopia", "Africa"
18, "Rock-Hewn Churches, Lalibela", 1978, 0, , 39.04042, 12.02935, 0, Cultural, "Ethiopia", "Africa"
19, "Fasil Ghebbi, Gondar Region", 1979, 0, , 37.4697, 12.607909, 0, Cultural, "Ethiopia", "Africa"
20, "Ancient City of Damascus", 1979, 1, Y 2013, 36.30972222, 33.51083333, 86.12, Cultural, "Syrian Arab Republic", "Arab States"
21, "Ancient City of Aleppo", 1986, 1, Y 2013, 37.16277778, 36.19916667, 364, Cultural, "Syrian Arab Republic", "Arab States"
22, "Ancient City of Bosra", 1980, 1, Y 2013, 36.48416667, 32.51916667, 116.2, Cultural, "Syrian Arab Republic", "Arab States"
23, "Site of Palmyra", 1980, 1, Y 2013, 38.26666667, 34.55416667, 1640, Cultural, "Syrian Arab Republic", "Arab States"
24, "Nahanni National Park", 1978, 0, , -125.5894444, 61.54722222, 476560, Natural, "Canada", "Europe and North America"
25, "Djoudj National Bird Sanctuary", 1981, 0, P 1984-1988 P 2000-2006, -16.237906, 16.414602, 16000, Natural, "Senegal", "Africa"
26, "Island of Gorée", 1978, 0, , -17.40083, 14.66722, 0, Cultural, "Senegal", "Africa"
27, "Mesa Verde National Park", 1978, 0, , -108.4855556, 37.26166667, 21043, Cultural, "United States of America", "Europe and North America"
28, "Yellowstone National Park", 1978, 0, P 1995-2003, -110.82778, 44.46056, 898349, Natural, "United States of America", "Europe and North America"
29, "Historic Centre of Kraków", 1978, 0, , 19.93722222, 50.06138889, 149.65, Cultural, "Poland", "Europe and North America"
30, "Historic Centre of Warsaw", 1980, 0, , 21.013, 52.25, 25.93, Cultural, "Poland", "Europe and North America"
31, "Auschwitz Birkenau <br /><small>German Nazi Concentration and Extermination Camp (1940-1945)</small>", 1979, 0, , 19.175, 50.03888889, 191.97, Cultural, "Poland", "Europe and North America"
32, "Wieliczka and Bochnia Royal Salt Mines", 1978, 0, P 1989-1998, 20.06388889, 49.97916667, 1104.947, Cultural, "Poland", "Europe and North America"
33, "Białowieża Forest", 1979, 0, , 23.98111111, 52.7275, 141885, Natural, "Belarus,Poland", "Europe and North America"
34, "Forts and Castles, Volta, Greater Accra, Central and Western Regions", 1979, 0, , -0.49361, 5.39103, 0, Cultural, "Ghana", "Africa"
35, "Asante Traditional Buildings", 1980, 0, , -1.625833333, 6.401111111, 0, Cultural, "Ghana", "Africa"
36, "Medina of Tunis", 1979, 0, , 10.16667, 36.81667, 296.41, Cultural, "Tunisia", "Arab States"
37, "Archaeological Site of Carthage", 1979, 0, , 10.32333, 36.85278, 498.08, Cultural, "Tunisia", "Arab States"
38, "Amphitheatre of El Jem", 1979, 0, , 10.70694, 35.29639, 1.37, Cultural, "Tunisia", "Arab States"
39, "Ngorongoro Conservation Area", 1979, 0, P 1984-1989, 35.54083, -3.18722, 809440, Mixed, "United Republic of Tanzania", "Africa"
42, "Boyana Church", 1979, 0, , 23.26618278, 42.64463194, 0.68, Cultural, "Bulgaria", "Europe and North America"
43, "Madara Rider", 1979, 0, , 27.118894, 43.277375, 1.2, Cultural, "Bulgaria", "Europe and North America"
44, "Thracian Tomb of Kazanlak", 1979, 0, , 25.399172, 42.625774, 0.0155, Cultural, "Bulgaria", "Europe and North America"
45, "Rock-Hewn Churches of Ivanovo", 1979, 0, , 25.987893, 43.694858, 171.9, Cultural, "Bulgaria", "Europe and North America"
55, "Røros Mining Town and the Circumference", 1980, 0, , 11.38555556, 62.57388889, 16510, Cultural, "Norway", "Europe and North America"
58, "Urnes Stave Church", 1979, 0, , 7.322678289, 61.29825949, 0.21, Cultural, "Norway", "Europe and North America"
59, "Bryggen", 1979, 0, , 5.32306, 60.39722, 1.196, Cultural, "Norway", "Europe and North America"
63, "Virunga National Park", 1979, 1, Y 1994, 29.16666667, 0.916666667, 800000, Natural, "Democratic Republic of the Congo", "Africa"
64, "Tikal National Park", 1979, 0, , -89.61666667, 17.21666667, 57600, Mixed, "Guatemala", "Latin America and the Caribbean"
65, "Antigua Guatemala", 1979, 0, , -90.73381, 14.556504, 0, Cultural, "Guatemala", "Latin America and the Caribbean"
71, "Dinosaur Provincial Park", 1979, 0, , -111.4922222, 50.76777778, 7825, Natural, "Canada", "Europe and North America"
72, "Kluane / Wrangell-St. Elias / Glacier Bay / Tatshenshini-Alsek", 1979, 0, , -140.9919722, 61.19758333, 9839121, Natural, "Canada,United States of America", "Europe and North America"
75, "Grand Canyon National Park", 1979, 0, , -112.0905556, 36.10083333, 493270, Natural, "United States of America", "Europe and North America"
76, "Everglades National Park", 1979, 1, Y 2010 P 1993-2007, -80.99638889, 25.55444444, 567017, Natural, "United States of America", "Europe and North America"
78, "Independence Hall", 1979, 0, , -75.15, 39.94861111, 2, Cultural, "United States of America", "Europe and North America"
79, "Paphos", 1980, 0, , 32.40556, 34.75833, 162.0171, Cultural, "Cyprus", "Europe and North America"
80, "Mont-Saint-Michel and its Bay", 1979, 0, , -1.51056, 48.63556, 6560, Cultural, "France", "Europe and North America"
81, "Chartres Cathedral", 1979, 0, , 1.487222222, 48.4475, 1.06, Cultural, "France", "Europe and North America"
83, "Palace and Park of Versailles", 1979, 0, , 2.119444444, 48.805, 1070, Cultural, "France", "Europe and North America"
84, "Vézelay, Church and Hill", 1979, 0, , 3.748333333, 47.46638889, 183, Cultural, "France", "Europe and North America"
85, "Prehistoric Sites and Decorated Caves of the Vézère Valley", 1979, 0, , 1.17, 45.0575, 105.733, Cultural, "France", "Europe and North America"
86, "Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur", 1979, 0, , 31.13041, 29.97604, 16358.52, Cultural, "Egypt", "Arab States"
87, "Ancient Thebes with its Necropolis", 1979, 0, , 32.6, 25.73333, 7390.16, Cultural, "Egypt", "Arab States"
88, "Nubian Monuments from Abu Simbel to Philae", 1979, 0, , 31.62580556, 22.33722222, 374.48, Cultural, "Egypt", "Arab States"
89, "Historic Cairo", 1979, 0, , 31.26111, 30.05, 523.66, Cultural, "Egypt", "Arab States"
90, "Abu Mena", 1979, 0, P 2001-2025, 29.66666667, 30.83583333, 182.72, Cultural, "Egypt", "Arab States"
91, "Historic Centre of Rome, the Properties of the Holy See in that City Enjoying Extraterritorial Rights and San Paolo Fuori le Mura", 1980, 0, , 12.49230556, 41.89022222, 1469.7, Cultural, "Holy See,Italy", "Europe and North America"
93, "Church and Dominican Convent of Santa Maria delle Grazie with “The Last Supper” by Leonardo da Vinci", 1980, 0, , 9.171, 45.466, 1.5, Cultural, "Italy", "Europe and North America"
94, "Rock Drawings in Valcamonica", 1979, 0, , 10.29733333, 45.95705556, 432.3, Cultural, "Italy", "Europe and North America"
95, "Old City of Dubrovnik", 1979, 0, P 1991-1998, 18.10886111, 42.64142111, 96.7, Cultural, "Croatia", "Europe and North America"
96, "Stari Ras and Sopoćani", 1979, 0, , 20.42278, 43.11889, 198.72, Cultural, "Serbia", "Europe and North America"
97, "Historical Complex of Split with the Palace of Diocletian", 1979, 0, , 16.43916667, 43.50888889, 20.8, Cultural, "Croatia", "Europe and North America"
98, "Plitvice Lakes National Park", 1979, 0, P 1992-1997, 15.61444, 44.87778, 29630.77, Natural, "Croatia", "Europe and North America"
99, "Natural and Cultural Heritage of the Ohrid region", 1979, 0, , 20.70416667, 40.99183333, 94728.6, Mixed, "Albania,North Macedonia", "Europe and North America"
100, "Durmitor National Park", 1980, 0, , 19.0166, 43.133, 32100, Natural, "Montenegro", "Europe and North America"
102, "Al Qal'a of Beni Hammad", 1980, 0, , 4.78684, 35.81844, 150, Cultural, "Algeria", "Arab States"
111, "Bale Mountains National Park", 2023, 0, , 39.74888889, 6.797777778, 215000, Natural, "Ethiopia", "Africa"
113, "Tchogha Zanbil", 1979, 0, , 48.522118, 32.00857, 0, Cultural, "Iran (Islamic Republic of)", "Asia and the Pacific"
114, "Persepolis", 1979, 0, , 52.89028, 29.93444, 12.5, Cultural, "Iran (Islamic Republic of)", "Asia and the Pacific"
115, "Meidan Emam, Esfahan", 1979, 0, , 51.67777778, 32.65745, 0, Cultural, "Iran (Islamic Republic of)", "Asia and the Pacific"
116, "Old Towns of Djenné", 1988, 1, Y 2016, -4.555, 13.90639, 0, Cultural, "Mali", "Africa"
119, "Timbuktu", 1988, 1, Y 2012 P 1990-2005, -2.999444444, 16.77333333, 0, Cultural, "Mali", "Africa"
120, "Sagarmatha National Park", 1979, 0, , 86.91306, 27.96528, 124400, Natural, "Nepal", "Asia and the Pacific"
121, "Kathmandu Valley", 1979, 0, P 2003-2007, 85.30858, 27.70395, 167.37, Cultural, "Nepal", "Asia and the Pacific"
124, "Historic Town of Ouro Preto", 1980, 0, , -43.50555556, -20.38888889, 167.8, Cultural, "Brazil", "Latin America and the Caribbean"
125, "Natural and Culturo-Historical Region of Kotor", 1979, 0, P 1979-2003, 18.7, 42.48333, 14600, Cultural, "Montenegro", "Europe and North America"
129, "Maya Site of Copan", 1980, 0, , -89.13333, 14.85, 15.095, Cultural, "Honduras", "Latin America and the Caribbean"
130, "Ħal Saflieni Hypogeum", 1980, 0, , 14.50688337, 35.86959, 0.13, Cultural, "Malta", "Europe and North America"
131, "City of Valletta", 1980, 0, , 14.51444, 35.90056, 55.5, Cultural, "Malta", "Europe and North America"
132, "Megalithic Temples of Malta", 1980, 0, , 14.26947, 36.04908, 3.155, Cultural, "Malta", "Europe and North America"
134, "Redwood National and State Parks", 1980, 0, , -123.9980556, 41.37388889, 41571, Natural, "United States of America", "Europe and North America"
135, "Fortifications on the Caribbean Side of Panama: Portobelo-San Lorenzo", 1980, 1, Y 2012, -79.65583333, 9.553888889, 0, Cultural, "Panama", "Latin America and the Caribbean"
136, "Garamba National Park", 1980, 1, Y 1996 P 1984-1992, 29.25, 4, 500000, Natural, "Democratic Republic of the Congo", "Africa"
137, "Kahuzi-Biega National Park", 1980, 1, Y 1997, 28.180743, -2.334053, 600000, Natural, "Democratic Republic of the Congo", "Africa"
138, "Archaeological Ruins at Moenjodaro", 1980, 0, , 68.13888889, 27.32916667, 240, Cultural, "Pakistan", "Asia and the Pacific"
139, "Taxila", 1980, 0, , 72.8875, 33.77916667, 0, Cultural, "Pakistan", "Asia and the Pacific"
140, "Buddhist Ruins of Takht-i-Bahi and Neighbouring City Remains at Sahr-i-Bahlol", 1980, 0, , 71.94583333, 34.32083333, 50.73, Cultural, "Pakistan", "Asia and the Pacific"
143, "Historical Monuments at Makli, Thatta", 1981, 0, , 67.9, 24.76666667, 0, Cultural, "Pakistan", "Asia and the Pacific"
144, "Ruins of Kilwa Kisiwani and Ruins of Songo Mnara", 1981, 0, P 2004-2014, 39.52278, -8.95778, 0, Cultural, "United Republic of Tanzania", "Africa"
145, "Los Glaciares National Park", 1981, 0, , -73.24944, -50, 726927, Natural, "Argentina", "Latin America and the Caribbean"
147, "Kakadu National Park", 1981, 0, , 132.8333333, -12.83333333, 1980994.92, Mixed, "Australia", "Asia and the Pacific"
148, "Old City of Jerusalem and its Walls", 1981, 1, Y 1982, 35.23166667, 31.77777778, 0, Cultural, "Jerusalem (Site proposed by Jordan)", "Arab States"
149, "Archaeological Park and Ruins of Quirigua", 1981, 0, , -89.04025, 15.27059, 34, Cultural, "Guatemala", "Latin America and the Caribbean"
150, "Mammoth Cave National Park", 1981, 0, , -86.10305556, 37.18722222, 21191, Natural, "United States of America", "Europe and North America"
151, "Olympic National Park", 1981, 0, , -123.4488889, 47.74833333, 369659.8, Natural, "United States of America", "Europe and North America"
153, "Niokolo-Koba National Park", 1981, 0, P 2007-2024, -12.899781, 12.841271, 913000, Natural, "Senegal", "Africa"
154, "Great Barrier Reef", 1981, 0, , 147.7, -18.28611111, 34870000, Natural, "Australia", "Asia and the Pacific"
155, "Mount Nimba Strict Nature Reserve", 1981, 1, Y 1992, -8.39097, 7.60318, 17540, Natural, "Côte d'Ivoire,Guinea", "Africa"
156, "Serengeti National Park", 1981, 0, , 34.56667, -2.33333, 1476300, Natural, "United Republic of Tanzania", "Africa"
157, "S<U>G</U>ang Gwaay", 1981, 0, , -131.2202778, 52.095, 0, Cultural, "Canada", "Europe and North America"
158, "Head-Smashed-In Buffalo Jump", 1981, 0, , -113.6520528, 49.70840556, 3626, Cultural, "Canada", "Europe and North America"
159, "Darien National Park", 1981, 0, , -77.54722222, 7.736111111, 579000, Natural, "Panama", "Latin America and the Caribbean"
160, "Palace and Park of Fontainebleau", 1981, 0, , 2.698055556, 48.40194444, 144, Cultural, "France", "Europe and North America"
162, "Amiens Cathedral", 1981, 0, , 2.301666667, 49.895, 1.54, Cultural, "France", "Europe and North America"
163, "Roman Theatre and its Surroundings and the "Triumphal Arch" of Orange", 1981, 0, , 4.808416667, 44.13572222, 9.45, Cultural, "France", "Europe and North America"
164, "Arles, Roman and Romanesque Monuments", 1981, 0, , 4.630694444, 43.67763889, 65, Cultural, "France", "Europe and North America"
165, "Cistercian Abbey of Fontenay", 1981, 0, , 4.38911, 47.63944, 5.77, Cultural, "France", "Europe and North America"
166, "Sydney Opera House", 2007, 0, , 151.2152778, -33.85666667, 5.8, Cultural, "Australia", "Asia and the Pacific"
167, "Willandra Lakes Region", 1981, 0, , 143, -34, 240000, Mixed, "Australia", "Asia and the Pacific"
168, "Speyer Cathedral", 1981, 0, , 8.442388889, 49.31722222, 0.558, Cultural, "Germany", "Europe and North America"
169, "Würzburg Residence with the Court Gardens and Residence Square", 1981, 0, , 9.93889, 49.79278, 14.77, Cultural, "Germany", "Europe and North America"
170, "Medina of Fez", 1981, 0, , -4.97778, 34.06111, 280, Cultural, "Morocco", "Arab States"
171, "Fort and Shalamar Gardens in Lahore", 1981, 0, P 2000-2012, 74.30972222, 31.59027778, 0, Cultural, "Pakistan", "Asia and the Pacific"
173, "Stone Town of Zanzibar", 2000, 0, , 39.18917, -6.16306, 96, Cultural, "United Republic of Tanzania", "Africa"
174, "Historic Centre of Florence", 1982, 0, , 11.25611, 43.77306, 532, Cultural, "Italy", "Europe and North America"
175, "Medici Villas and Gardens in Tuscany", 2013, 0, , 11.30416667, 43.85777778, 125.4, Cultural, "Italy", "Europe and North America"
179, "Tassili n'Ajjer", 1982, 0, , 9, 25.5, 7200000, Mixed, "Algeria", "Arab States"
180, "National History Park – Citadel, Sans Souci, Ramiers", 1982, 0, , -72.234268, 19.573025, 25285.59, Cultural, "Haiti", "Latin America and the Caribbean"
181, "Tasmanian Wilderness", 1982, 0, , 146.2305556, -43.11847222, 1584233, Mixed, "Australia", "Asia and the Pacific"
183, "Archaeological Site of Leptis Magna", 1982, 1, Y 2016, 14.29306, 32.63833, 387.485, Cultural, "Libya", "Arab States"
184, "Archaeological Site of Sabratha", 1982, 1, Y 2016, 12.485, 32.80528, 90.534, Cultural, "Libya", "Arab States"
185, "Aldabra Atoll", 1982, 0, , 46.41666667, -9.416666667, 35000, Natural, "Seychelles", "Africa"
186, "Lord Howe Island Group", 1982, 0, , 159.0883333, -31.56555556, 146300, Natural, "Australia", "Asia and the Pacific"
187, "St Mary's Cathedral and St Michael's Church at Hildesheim", 1985, 0, , 9.94389, 52.15278, 0.58, Cultural, "Germany", "Europe and North America"
188, "M'Zab Valley", 1982, 0, , 3.68333, 32.48333, 665.03, Cultural, "Algeria", "Arab States"
