Pocket PC 2000, Rapier, 19-04-2000, 
Pocket PC 2002, Merlin, 04-10-2001, 
Windows Mobile 2003, Ozone, 23-06-2003, 
Windows Mobile 2003 SE, , 24-03-2004, 
Windows Mobile 5.0, Magneto, 09-05-2005, 
Windows Mobile 6.0, Crossbow, 12-02-2007, 
Windows Mobile 6.1, , 01-04-2008, 
Windows Mobile 6.5, , 11-05-2009, 
Windows Phone 7, , 29-10-2010, 
Windows Phone 7.5, Mango, 27-09-2011, 
Windows Phone 7.8, , 01-02-2013, 
Windows Phone 8, Apollo, 29-10-2012, 
Windows Phone 8.1, Blue, 14-04-2014, 
Windows 10 Mobile version 1511, Threshold 2, 12-11-2015, 
Windows 10 Mobile version 1607, Redstone 1, 16-08-2016, 
Windows 10 Mobile version 1703, Redstone 2, 24-04-2017, 
Windows 10 Mobile version 1709, feature2, 24-10-2017, 
