Windows 1.01, Interface Manager, 20-11-1985, 1.01, NA, NA, 31-12-2001, 
Windows 1.02, NA, 14-05-1986, 1.02, NA, NA, 31-12-2001, 
Windows 1.03, NA, 21-08-1986, 1.03, NA, NA, 31-12-2001, 
Windows 1.04, NA, 10-04-1987, 1.04, NA, NA, 31-12-2001, 
Windows 2.01, NA, 09-12-1987, 2.01, NA, NA, 31-12-2001, 
Windows 2.03, NA, 09-12-1987, 2.03, NA, NA, 31-12-2001, 
Windows 2.1, NA, 27-05-1988, 2.1, NA, NA, 31-12-2001, 
Windows 2.11, NA, 13-03-1989, 2.11, NA, NA, 31-12-2001, 
Windows 3.0, NA, 22-05-1990, 3, Windows 3.0a Windows 3.0 with Multimedia Extensions, NA, 31-12-2001, 
Windows 3.1, NA, 06-04-1992, 3.1, Windows 3.1, 103, 31-12-2001, 
Windows 3.1, Sparta, 01-10-1992, 3.1, Windows for Workgroups 3.1, 102, 31-12-2001, 
Windows NT 3.1, Razzle, 27-07-1993, NT 3.1, Windows NT 3.1, 528, 31-12-2000, 
Windows 3.11, NA, 08-11-1993, 3.11, Windows 3.11, , , 
Windows 3.11, Snowball, 08-11-1993, 3.11, Windows for Workgroups 3.11, 300, 31-12-2001, 
Windows 3.2, NA, 22-11-1993, 3.2, Windows 3.2, 153, 31-12-2001, 
Windows NT 3.5, Daytona, 21-09-1994, NT 3.5, Windows NT 3.5 Workstation, 807, 31-12-2001, 
Windows NT 3.51, Daytona, 30-05-1995, NT 3.51, Windows NT 3.51 Workstation, 1057, 31-12-2001, 
Windows 95, Chicago, 24-08-1995, 4, Windows 95, 950, 31-12-2001, 
Windows NT 4.0, Shell Update Release, 24-08-1996, NT 4.0, Windows NT 4.0 Workstation, 1381, 30-06-2004, 
Windows 98, Memphis, 25-06-1998, 4.1, Windows 98, 1998, 11-07-2006, 
Windows 98 Second Edition, NA, 05-05-1999, 4.1, Windows 98 Second Edition, 2222, 11-07-2006, 
Windows 2000, Windows NT 5.0, 17-02-2000, NT 5.0, Windows 2000 Professional, 2195, 13-07-2010, 
Windows Me, Millennium, 14-09-2000, 4.9, Windows Me, 3000, 11-07-2006, 
Windows XP, Whistler, 25-10-2001, NT 5.1, Windows XP Starter Windows XP Home Windows XP Professional Windows XP 64-bit Edition, 2600, 08-04-2014, 
Windows XP, Freestyle, 29-10-2002, NT 5.1, Windows XP Media Center Edition, 2600, 08-04-2014, 
Windows XP, Harmony, 30-09-2003, NT 5.1, Windows XP Media Center Edition 2004, 2600, 08-04-2014, 
Windows XP, Symphony, 12-10-2004, NT 5.1, Windows XP Media Center Edition 2005, 2600, 08-04-2014, 
Windows XP, Anvil, 25-04-2005, NT 5.2, Windows XP Professional x64 Edition, 3790, 08-04-2014, 
Windows XP, Emerald, 14-10-2005, NT 5.2, Windows XP Media Center Edition 2006, 2715, 08-04-2014, 
Windows Vista, Longhorn, 30-01-2007, NT 6.0, Windows Vista Starter/ Windows Vista Home Basic/ Windows Vista Home Premium/ Windows Vista Business/ Windows Vista Enterprise/ Windows Vista Ultimate, 6002, 11-04-2017, 
Windows 7, Windows 7, 22-10-2009, NT 6.1, Windows 7 Starter Windows 7 Home Basic Windows 7 Home Premium Windows 7 Professional Windows 7 Enterprise Windows 7 Ultimate, 7601, 14-01-2020, 
Windows 8, Windows 8, 26-10-2012, NT 6.2, Windows 8 Windows 8 Pro Windows 8 Enterprise, 9200, 12-01-2016, 
Windows 8.1, Blue, 17-10-2013, NT 6.3, Windows 8.1 Windows 8.1 Pro Windows 8.1 Enterprise, 9600, 10-01-2023, 
Windows 8.1, Blue, 23-05-2014, NT 6.3, Windows 8.1 with Bing, 9600, 10-01-2023, 
Windows 10 version 1507, Threshold 1, 29-07-2015, NT 10.0, Windows 10 Home/ Windows 10 Pro/ Windows 10 Education/ Windows 10 Enterprise/ Windows 10 Pro for Workstations/ Windows 10 Pro Education/ Windows 10 S/ Windows 10 Enterprise LTSC, 10240, 14-10-2025, 
Windows 10 version 1511, Threshold 2, 10-11-2015, 1511, Windows 10 Home/ Windows 10 Pro/ Windows 10 Education/ Windows 10 Enterprise/ Windows 10 Pro for Workstations/ Windows 10 Pro Education/ Windows 10 S/ Windows 10 Enterprise LTSC, 10586, 14-10-2025, 
Windows 10 version 1607, Redstone 1, 02-08-2016, 1607, Windows 10 Home/ Windows 10 Pro/ Windows 10 Education/ Windows 10 Enterprise/ Windows 10 Pro for Workstations/ Windows 10 Pro Education/ Windows 10 S/ Windows 10 Enterprise LTSC, 14393, 14-10-2025, 
Windows 10 version 1703, Redstone 2, 05-04-2017, 1703, Windows 10 Home/ Windows 10 Pro/ Windows 10 Education/ Windows 10 Enterprise/ Windows 10 Pro for Workstations/ Windows 10 Pro Education/ Windows 10 S/ Windows 10 Enterprise LTSC, 15063, 14-10-2025, 
Windows 10 version 1709, Redstone 3, 17-10-2017, 1709, Windows 10 Home/ Windows 10 Pro/ Windows 10 Education/ Windows 10 Enterprise/ Windows 10 Pro for Workstations/ Windows 10 Pro Education/ Windows 10 S/ Windows 10 Enterprise LTSC, 16299, 14-10-2025, 
Windows 10 version 1803, Redstone 4, 30-04-2018, 1803, Windows 10 Home/ Windows 10 Pro/ Windows 10 Education/ Windows 10 Enterprise/ Windows 10 Pro for Workstations/ Windows 10 Pro Education/ Windows 10 S/ Windows 10 Enterprise LTSC, 17134, 14-10-2025, 
Windows 10 version 1809, Redstone 5, 13-11-2018, 1809, Windows 10 Home/ Windows 10 Pro/ Windows 10 Education/ Windows 10 Enterprise/ Windows 10 Pro for Workstations/ Windows 10 Pro Education/ Windows 10 S/ Windows 10 Enterprise LTSC, 17763, 14-10-2025, 
Windows 10 version 1903, 19H1, 21-05-2019, 1903, Windows 10 Home/ Windows 10 Pro/ Windows 10 Education/ Windows 10 Enterprise/ Windows 10 Pro for Workstations/ Windows 10 Pro Education/ Windows 10 S/ Windows 10 Enterprise LTSC, 18362, 14-10-2025, 
Windows 10 version 1909, Vanadium, 12-11-2019, 1909, Windows 10 Home/ Windows 10 Pro/ Windows 10 Education/ Windows 10 Enterprise/ Windows 10 Pro for Workstations/ Windows 10 Pro Education/ Windows 10 S/ Windows 10 Enterprise LTSC, 18363, 14-10-2025, 
Windows 10 version 2004, Vibranium, 27-05-2020, 2004, Windows 10 Home/ Windows 10 Pro/ Windows 10 Education/ Windows 10 Enterprise/ Windows 10 Pro for Workstations/ Windows 10 Pro Education/ Windows 10 S/ Windows 10 Enterprise LTSC, 19041, 14-10-2025, 
Windows 10 version 20H2, Vibranium, 20-10-2020, 20H2, Windows 10 Home/ Windows 10 Pro/ Windows 10 Education/ Windows 10 Enterprise/ Windows 10 Pro for Workstations/ Windows 10 Pro Education/ Windows 10 S/ Windows 10 Enterprise LTSC, 19042, 14-10-2025, 
Windows 10 version 21H1, Vibranium, 18-05-2021, 21H1, Windows 10 Home/ Windows 10 Pro/ Windows 10 Education/ Windows 10 Enterprise/ Windows 10 Pro for Workstations/ Windows 10 Pro Education/ Windows 10 S/ Windows 10 Enterprise LTSC, 19043, 14-10-2025, 
Windows 10 version 21H2, Vibranium, 16-11-2021, 21H2, Windows 10 Home/ Windows 10 Pro/ Windows 10 Education/ Windows 10 Enterprise/ Windows 10 Pro for Workstations/ Windows 10 Pro Education/ Windows 10 S/ Windows 10 Enterprise LTSC, 19044, 14-10-2025, 
Windows 11 version 21H2, Sun Valley, 05-10-2021, 21H2, Windows 11 HomeWindows 11 ProWindows 11 Pro for WorkstationsWindows 11 Pro Education, 22000, 10-10-2023, 
Windows 11 version 21H2, Sun Valley, 05-10-2021, 21H2, Windows 11 Education Windows 11 Enterprise, 22000, 08-10-2024, 
