Nasal, 2, bone, Axial Skeleton, Skull, 
Lacrimal, 2, bone, Axial Skeleton, Skull, 
Inferior Nasal Concha, 2, bone, Axial Skeleton, Skull, 
Maxiallary, 2, bone, Axial Skeleton, Skull, 
Zygomatic, 2, bone, Axial Skeleton, Skull, 
Temporal, 2, bone, Axial Skeleton, Skull, 
Palatine, 2, bone, Axial Skeleton, Skull, 
Parietal, 2, bone, Axial Skeleton, Skull, 
Malleus, 2, bone, Axial Skeleton, Skull, 
Incus, 2, bone, Axial Skeleton, Skull, 
Stapes, 2, bone, Axial Skeleton, Skull, 
Frontal, 1, bone, Axial Skeleton, Skull, 
Ethmoid, 1, bone, Axial Skeleton, Skull, 
Vomer, 1, bone, Axial Skeleton, Skull, 
Sphenoid, 1, bone, Axial Skeleton, Skull, 
Mandible, 1, bone, Axial Skeleton, Skull, 
Occipital, 1, bone, Axial Skeleton, Skull, 
Rib 1, 2, bone, Axial Skeleton, Torso, 
Rib 2, 2, bone, Axial Skeleton, Torso, 
Rib 3, 2, bone, Axial Skeleton, Torso, 
Rib 4, 2, bone, Axial Skeleton, Torso, 
Rib 5, 2, bone, Axial Skeleton, Torso, 
Rib 6, 2, bone, Axial Skeleton, Torso, 
Rib 7, 2, bone, Axial Skeleton, Torso, 
Rib 8 (False), 2, bone, Axial Skeleton, Torso, 
Rib 9 (False), 2, bone, Axial Skeleton, Torso, 
Rib 10 (False), 2, bone, Axial Skeleton, Torso, 
Rib 11 (Floating), 2, bone, Axial Skeleton, Torso, 
Rib 12 (Floating), 2, bone, Axial Skeleton, Torso, 
Hyoid, 1, bone, Axial Skeleton, Torso, 
Sternum, 1, bone, Axial Skeleton, Torso, 
Cervical Vertebrae 1 (atlas), 1, bone, Axial Skeleton, Torso, 
C2 (axis), 1, bone, Axial Skeleton, Torso, 
C3, 1, bone, Axial Skeleton, Torso, 
C4, 1, bone, Axial Skeleton, Torso, 
C5, 1, bone, Axial Skeleton, Torso, 
C6, 1, bone, Axial Skeleton, Torso, 
C7, 1, bone, Axial Skeleton, Torso, 
Thoracic Vertebrae 1, 1, bone, Axial Skeleton, Torso, 
T2, 1, bone, Axial Skeleton, Torso, 
T3, 1, bone, Axial Skeleton, Torso, 
T4, 1, bone, Axial Skeleton, Torso, 
T5, 1, bone, Axial Skeleton, Torso, 
T6, 1, bone, Axial Skeleton, Torso, 
T7, 1, bone, Axial Skeleton, Torso, 
T8, 1, bone, Axial Skeleton, Torso, 
T9, 1, bone, Axial Skeleton, Torso, 
T10, 1, bone, Axial Skeleton, Torso, 
T11, 1, bone, Axial Skeleton, Torso, 
T12, 1, bone, Axial Skeleton, Torso, 
Lumbar Vertebrae 1, 1, bone, Axial Skeleton, Torso, 
L2, 1, bone, Axial Skeleton, Torso, 
L3, 1, bone, Axial Skeleton, Torso, 
L4, 1, bone, Axial Skeleton, Torso, 
L5, 1, bone, Axial Skeleton, Torso, 
Sacrum, 1, bone, Axial Skeleton, Torso, 
Coccyx, 1, bone, Axial Skeleton, Torso, 
Scapula, 2, bone, Appendicular Skeleton, Upper Extremity, 
Clavicle, 2, bone, Appendicular Skeleton, Upper Extremity, 
Humerus, 2, bone, Appendicular Skeleton, Upper Extremity, 
Radius, 2, bone, Appendicular Skeleton, Upper Extremity, 
Ulna, 2, bone, Appendicular Skeleton, Upper Extremity, 
Scaphoid, 2, bone, Appendicular Skeleton, Upper Extremity, 
Lunate, 2, bone, Appendicular Skeleton, Upper Extremity, 
Triquetrum, 2, bone, Appendicular Skeleton, Upper Extremity, 
Pisiform, 2, bone, Appendicular Skeleton, Upper Extremity, 
Hamate, 2, bone, Appendicular Skeleton, Upper Extremity, 
Capitate, 2, bone, Appendicular Skeleton, Upper Extremity, 
Trapezoid, 2, bone, Appendicular Skeleton, Upper Extremity, 
Trapezium, 2, bone, Appendicular Skeleton, Upper Extremity, 
Metacarpal 1, 2, bone, Appendicular Skeleton, Upper Extremity, 
Proximal Phalange 1, 2, bone, Appendicular Skeleton, Upper Extremity, 
Distal Phalange 1, 2, bone, Appendicular Skeleton, Upper Extremity, 
Metacarpal 2, 2, bone, Appendicular Skeleton, Upper Extremity, 
Proximal Phalange 2, 2, bone, Appendicular Skeleton, Upper Extremity, 
Middle Phalange 2, 2, bone, Appendicular Skeleton, Upper Extremity, 
Distal Phalange 2, 2, bone, Appendicular Skeleton, Upper Extremity, 
Metacarpal 3, 2, bone, Appendicular Skeleton, Upper Extremity, 
Proximal Phalange 3, 2, bone, Appendicular Skeleton, Upper Extremity, 
Middle Phalange 3, 2, bone, Appendicular Skeleton, Upper Extremity, 
Distal Phalange 3, 2, bone, Appendicular Skeleton, Upper Extremity, 
Metacarpal 4, 2, bone, Appendicular Skeleton, Upper Extremity, 
Proximal Phalange 4, 2, bone, Appendicular Skeleton, Upper Extremity, 
Middle Phalange 4, 2, bone, Appendicular Skeleton, Upper Extremity, 
Distal Phalange 4, 2, bone, Appendicular Skeleton, Upper Extremity, 
Metacarpal 5, 2, bone, Appendicular Skeleton, Upper Extremity, 
Proximal Phalange 5, 2, bone, Appendicular Skeleton, Upper Extremity, 
Middle Phalange 5, 2, bone, Appendicular Skeleton, Upper Extremity, 
Distal Phalange 5, 2, bone, Appendicular Skeleton, Upper Extremity, 
Hip (Ilium, 2, Ischium, Pubis), bone, 
Femur, 2, bone, Appendicular Skeleton, Lower Extremity, 
Patella, 2, bone, Appendicular Skeleton, Lower Extremity, 
Tibia, 2, bone, Appendicular Skeleton, Lower Extremity, 
Fibula, 2, bone, Appendicular Skeleton, Lower Extremity, 
Talus, 2, bone, Appendicular Skeleton, Lower Extremity, 
Calcaneus, 2, bone, Appendicular Skeleton, Lower Extremity, 
Navicular, 2, bone, Appendicular Skeleton, Lower Extremity, 
Medial Cuneiform, 2, bone, Appendicular Skeleton, Lower Extremity, 
Middle Cuneiform, 2, bone, Appendicular Skeleton, Lower Extremity, 
Lateral Cuneiform, 2, bone, Appendicular Skeleton, Lower Extremity, 
Cuboid, 2, bone, Appendicular Skeleton, Lower Extremity, 
Metatarsal 1, 2, bone, Appendicular Skeleton, Lower Extremity, 
Proximal Phalange 1, 2, bone, Appendicular Skeleton, Lower Extremity, 
Distal Phalange 1, 2, bone, Appendicular Skeleton, Lower Extremity, 
Metatarsal 2, 2, bone, Appendicular Skeleton, Lower Extremity, 
Proximal Phalange 2, 2, bone, Appendicular Skeleton, Lower Extremity, 
Middle Phalange 2, 2, bone, Appendicular Skeleton, Lower Extremity, 
Distal Phalange 2, 2, bone, Appendicular Skeleton, Lower Extremity, 
Metatarsal 3, 2, bone, Appendicular Skeleton, Lower Extremity, 
Proximal Phalange 3, 2, bone, Appendicular Skeleton, Lower Extremity, 
Middle Phalange 3, 2, bone, Appendicular Skeleton, Lower Extremity, 
Distal Phalange 3, 2, bone, Appendicular Skeleton, Lower Extremity, 
Metatarsal 4, 2, bone, Appendicular Skeleton, Lower Extremity, 
Proximal Phalange 4, 2, bone, Appendicular Skeleton, Lower Extremity, 
Middle Phalange 4, 2, bone, Appendicular Skeleton, Lower Extremity, 
Distal Phalange 4, 2, bone, Appendicular Skeleton, Lower Extremity, 
Metatarsal 5, 2, bone, Appendicular Skeleton, Lower Extremity, 
Proximal Phalange 5, 2, bone, Appendicular Skeleton, Lower Extremity, 
Middle Phalange 5, 2, bone, Appendicular Skeleton, Lower Extremity, 
Distal Phalange 5, 2, bone, Appendicular Skeleton, Lower Extremity, 
