iPhone, iPhone OS 1, 29 Jun 2007, 
iPhone 3G, iPhone OS 2, 11 July 2008, 
iPhone 3GS, iPhone OS 3, 17 Jun 2009, 
iPhone 4, iOS 4, 21 Jun 2010, 
iPhone 4S, iOS 5, 12 Oct 2011, 
iPhone 5, iOS 6, 19 Sep 2012, 
iPhone 5C, iOS 7, 18 Sep 2013, 
iPhone 5S, iOS 7, 18 Sep 2013, 
iPhone 6, iOS 8, 17 Sep 2014, 
iPhone 6 Plus, iOS 8, 17 Sep 2014, 
iPhone 6S, iOS 9, 16 Sep 2015, 
iPhone 6S Plus, iOS 9, 16 Sep 2015, 
iPhone SE, iOS 9.3, 16 Sep 2016, 
iPhone 7, iOS 10, 13 Sep 2016, 
iPhone 7 Plus, iOS 10, 13 Sep 2016, 
iPhone 8, iOS 11, 19 Sep 2017, 
iPhone 8 Plus, iOS 11, 19 Sep 2017, 
iPhone X, iOS 11, 19 Sep 2017, 
iPhone XR, iOS 12, 17 Sep 2018, 
iPhone XS, iOS 12, 17 Sep 2018, 
iPhone XS Max, iOS 12, 17 Sep 2018, 
iPhone 11, iOS 13, 19 Sep 2019, 
iPhone 11 Pro, iOS 13, 19 Sep 2019, 
iPhone 11 Pro Max, iOS 13, 19 Sep 2019, 
iPhone SE, iOS 13, 24 Apr 2020, 
iPhone 12, iOS 14, 13 Oct 2020, 
iPhone 12 Mini, iOS 14, 13 Oct 2020, 
iPhone 12 Pro, iOS 14, 13 Oct 2020, 
iPhone 12 Pro Max, iOS 14, 13 Oct 2020, 
iPhone 13, iOS 15, 24 Sep 2021, 
iPhone 13 Mini, iOS 15, 24 Sep 2021, 
iPhone 13 Pro, iOS 15, 24 Sep 2021, 
iPhone 13 Pro Max, iOS 15, 24 Sep 2021, 
