Itália meridional, Abruzos, Áquila, 1314815, 10763, 122, 4, 305, 
Itália meridional, Apúlia, Bari, 4051216, 19358, 209, 6, 258, 
Itália meridional, Basilicata, Potenza, 574752, 9995, 58, 2, 131, 
Itália meridional, Calábria, Catanzaro, 1957402, 15081, 130, 5, 409, 
Itália meridional, Campânia, Nápoles, 5764485, 13590, 424, 5, 550, 
Itália nordestina, Emília-Romanha, Bolonha, 4390515, 22446, 195, 7, 340, 
Itália nordestina, Friul-Veneza Júlia, Trieste, 1231558, 7858, 155, 4, 217, 
Itália central, Lácio, Roma, 5582966, 17236, 322, 5, 378, 
Itália noroestina, Ligúria, Gênova, 1583223, 5422, 288, 4, 235, 
Itália noroestina, Lombardia, Milão, 9893008, 23861, 412, 12, 1 544, 
Itália central, Marcas, Ancona, 1544925, 9366, 165, 5, 236, 
Itália meridional, Molise, Campobasso, 312726, 4438, 70, 2, 136, 
Itália noroestina, Piemonte, Turim, 4406777, 25402, 172, 8, 1 206, 
Itália insular, Sardenha, Cálhari, 1641946, 24090, 68, 8, 377, 
Itália insular, Sicília, Palermo, 4994383, 25711, 194, 9, 390, 
Itália central, Toscana, Florença, 3699319, 22994, 160, 10, 280, 
Itália nordestina, Trentino-Alto Ádige, Trento, 1047229, 13607, 76, 2, 333, 
Itália central, Úmbria, Perúgia, 893957, 8456, 105, 2, 92, 
Itália noroestina, Vale de Aosta, Aosta, 128062, 3263, 39, 1, 74, 
Itália nordestina, Vêneto, Veneza, 4904643, 18399, 266, 7, 580, 
