FNT 1010, Fontana, Fontana, 
FNT 1011, Fontana, Fontana, 
FNT 1012, Fontana, Fontana, 
FNT 1013, Fontana, Fontana, 
FNT 1030, Fontana, Fontana, 
FNT 1031, Fontana, Fontana, 
FNT 1040, Fontana, Fontana, 
FNT 1041, Fontana, Fontana, 
FNT 1050, Fontana, Fontana, 
FNT 1060, Fontana, Fontana, 
FNT 1061, Fontana, Fontana, 
FNT 1070, Fontana, Fontana, 
FNT 1080, Fontana, Fontana, 
FNT 1081, Fontana, Fontana, 
FNT 1082, Fontana, Fontana, 
FNT 1083, Fontana, Fontana, 
FNT 1100, Fontana, Fontana, 
FNT 1110, Fontana, Fontana, 
FNT 1111, Fontana, Fontana, 
FNT 1112, Fontana, Fontana, 
FNT 1113, Fontana, Fontana, 
FNT 1120, Fontana, Fontana, 
FNT 1121, Fontana, Fontana, 
FNT 1130, Fontana, Fontana, 
FNT 1140, Fontana, Fontana, 
FNT 1150, Fontana, Fontana, 
FNT 1160, Fontana, Fontana, 
FNT 1170, Fontana, Fontana, 
FNT 1172, Fontana, Fontana, 
FNT 1173, Fontana, Fontana, 
FNT 1180, Fontana, Fontana, 
FNT 1181, Fontana, Fontana, 
FNT 1401, Fontana, Fontana, 
FNT 1411, Fontana, Fontana, 
FNT 1420, Fontana, Fontana, 
FNT 1421, Fontana, Fontana, 
FNT 1422, Fontana, Fontana, 
FNT 9011, Fontana, Fontana, 
FNT 9012, Fontana, Fontana, 
FNT 9013, Fontana, Fontana, 
FNT 9020, Fontana, Fontana, 
FNT 9021, Fontana, Fontana, 
FNT 9022, Fontana, Fontana, 
FNT 9023, Fontana, Fontana, 
FNT 9024, Fontana, Fontana, 
FNT 9025, Fontana, Fontana, 
FNT 9026, Fontana, Fontana, 
FNT 9027, Fontana, Fontana, 
FNT 9028, Fontana, Fontana, 
FNT 9029, Fontana, Fontana, 
GSM 1021, Għajnsielem, Għajnsielem, 
GSM 1022, Għajnsielem, Għajnsielem, 
GSM 1023, Għajnsielem, Għajnsielem, 
GSM 1024, Għajnsielem, Għajnsielem, 
GSM 1030, Għajnsielem, Għajnsielem, 
GSM 1031, Għajnsielem, Għajnsielem, 
GSM 1040, Għajnsielem, Għajnsielem, 
GSM 1050, Għajnsielem, Għajnsielem, 
GSM 1051, Għajnsielem, Għajnsielem, 
GSM 1053, Għajnsielem, Għajnsielem, 
GSM 1061, Għajnsielem, Għajnsielem, 
GSM 1070, Għajnsielem, Għajnsielem, 
GSM 1071, Għajnsielem, Għajnsielem, 
GSM 1072, Għajnsielem, Għajnsielem, 
GSM 1073, Għajnsielem, Għajnsielem, 
GSM 1080, Għajnsielem, Għajnsielem, 
GSM 1081, Għajnsielem, Għajnsielem, 
GSM 1100, Għajnsielem, Għajnsielem, 
GSM 1102, Għajnsielem, Għajnsielem, 
GSM 1103, Għajnsielem, Għajnsielem, 
GSM 1104, Għajnsielem, Għajnsielem, 
GSM 1105, Għajnsielem, Għajnsielem, 
GSM 1106, Għajnsielem, Għajnsielem, 
GSM 1107, Għajnsielem, Għajnsielem, 
GSM 1120, Għajnsielem, Għajnsielem, 
GSM 1121, Għajnsielem, Għajnsielem, 
GSM 1122, Għajnsielem, Għajnsielem, 
GSM 1123, Għajnsielem, Għajnsielem, 
GSM 1180, Għajnsielem, Għajnsielem, 
GSM 1181, Għajnsielem, Għajnsielem, 
GSM 1182, Għajnsielem, Għajnsielem, 
GSM 1183, Għajnsielem, Għajnsielem, 
GSM 1184, Għajnsielem, Għajnsielem, 
GSM 1185, Għajnsielem, Għajnsielem, 
GSM 1201, Għajnsielem, Għajnsielem, 
GSM 1230, Għajnsielem, Għajnsielem, 
GSM 1231, Għajnsielem, Għajnsielem, 
GSM 1232, Għajnsielem, Għajnsielem, 
GSM 1233, Għajnsielem, Għajnsielem, 
GSM 1240, Għajnsielem, Għajnsielem, 
GSM 1241, Għajnsielem, Għajnsielem, 
GSM 1242, Għajnsielem, Għajnsielem, 
GSM 1243, Għajnsielem, Għajnsielem, 
GSM 1244, Għajnsielem, Għajnsielem, 
GSM 1245, Għajnsielem, Għajnsielem, 
GSM 1246, Għajnsielem, Għajnsielem, 
GSM 1248, Għajnsielem, Għajnsielem, 
GSM 1249, Għajnsielem, Għajnsielem, 
GSM 1250, Għajnsielem, Għajnsielem, 
GSM 1260, Għajnsielem, Għajnsielem, 
GSM 1280, Għajnsielem, Għajnsielem, 
GSM 1282, Għajnsielem, Għajnsielem, 
GSM 1283, Għajnsielem, Għajnsielem, 
GSM 1284, Għajnsielem, Għajnsielem, 
GSM 1285, Għajnsielem, Għajnsielem, 
GSM 1350, Għajnsielem, Għajnsielem, 
GSM 1351, Għajnsielem, Għajnsielem, 
GSM 1352, Għajnsielem, Għajnsielem, 
GSM 1353, Għajnsielem, Għajnsielem, 
GSM 1410, Għajnsielem, Għajnsielem, 
GSM 1411, Għajnsielem, Għajnsielem, 
GSM 1412, Għajnsielem, Għajnsielem, 
GSM 1413, Għajnsielem, Għajnsielem, 
GSM 1415, Għajnsielem, Għajnsielem, 
GSM 1420, Għajnsielem, Għajnsielem, 
GSM 1422, Għajnsielem, Għajnsielem, 
GSM 1430, Għajnsielem, Għajnsielem, 
GSM 1431, Għajnsielem, Għajnsielem, 
GSM 1432, Għajnsielem, Għajnsielem, 
GSM 1433, Għajnsielem, Għajnsielem, 
GSM 1450, Għajnsielem, Għajnsielem, 
GSM 1451, Għajnsielem, Għajnsielem, 
GSM 1500, Għajnsielem, Għajnsielem, 
GSM 1501, Għajnsielem, Għajnsielem, 
GSM 1502, Għajnsielem, Għajnsielem, 
GSM 1520, Għajnsielem, Għajnsielem, 
GSM 1521, Għajnsielem, Għajnsielem, 
GSM 1540, Għajnsielem, Għajnsielem, 
GSM 1550, Għajnsielem, Għajnsielem, 
GSM 1551, Għajnsielem, Għajnsielem, 
GSM 1552, Għajnsielem, Għajnsielem, 
GSM 1553, Għajnsielem, Għajnsielem, 
GSM 1560, Għajnsielem, Għajnsielem, 
GSM 1561, Għajnsielem, Għajnsielem, 
GSM 1570, Għajnsielem, Għajnsielem, 
GSM 1571, Għajnsielem, Għajnsielem, 
GSM 1572, Għajnsielem, Għajnsielem, 
GSM 1573, Għajnsielem, Għajnsielem, 
GSM 1600, Għajnsielem, Għajnsielem, 
GSM 1601, Għajnsielem, Għajnsielem, 
GSM 1610, Għajnsielem, Għajnsielem, 
GSM 1611, Għajnsielem, Għajnsielem, 
GSM 1612, Għajnsielem, Għajnsielem, 
GSM 1613, Għajnsielem, Għajnsielem, 
GSM 1621, Għajnsielem, Għajnsielem, 
GSM 1622, Għajnsielem, Għajnsielem, 
GSM 1623, Għajnsielem, Għajnsielem, 
GSM 1624, Għajnsielem, Għajnsielem, 
GSM 1625, Għajnsielem, Għajnsielem, 
GSM 1626, Għajnsielem, Għajnsielem, 
GSM 1627, Għajnsielem, Għajnsielem, 
GSM 1629, Għajnsielem, Għajnsielem, 
GSM 1640, Għajnsielem, Għajnsielem, 
GSM 1641, Għajnsielem, Għajnsielem, 
GSM 1642, Għajnsielem, Għajnsielem, 
GSM 1643, Għajnsielem, Għajnsielem, 
GSM 1714, Għajnsielem, Għajnsielem, 
GSM 1715, Għajnsielem, Għajnsielem, 
GSM 1720, Għajnsielem, Għajnsielem, 
GSM 1800, Għajnsielem, Għajnsielem, 
GSM 1801, Għajnsielem, Għajnsielem, 
GSM 1802, Għajnsielem, Għajnsielem, 
GSM 1803, Għajnsielem, Għajnsielem, 
GSM 1804, Għajnsielem, Għajnsielem, 
GSM 1805, Għajnsielem, Għajnsielem, 
GSM 1806, Għajnsielem, Għajnsielem, 
GSM 1807, Għajnsielem, Għajnsielem, 
GSM 1808, Għajnsielem, Għajnsielem, 
GSM 1809, Għajnsielem, Għajnsielem, 
GSM 1871, Għajnsielem, Għajnsielem, 
GSM 1872, Għajnsielem, Għajnsielem, 
GSM 1901, Għajnsielem, Għajnsielem, 
GSM 1903, Għajnsielem, Għajnsielem, 
GSM 1905, Għajnsielem, Għajnsielem, 
GSM 1930, Għajnsielem, Għajnsielem, 
GSM 1950, Għajnsielem, Għajnsielem, 
GSM 1951, Għajnsielem, Għajnsielem, 
GSM 1980, Għajnsielem, Għajnsielem, 
GSM 2020, Għajnsielem, Għajnsielem, 
GSM 2021, Għajnsielem, Għajnsielem, 
GSM 2031, Għajnsielem, Għajnsielem, 
GSM 2040, Għajnsielem, Għajnsielem, 
GSM 2041, Għajnsielem, Għajnsielem, 
GSM 2065, Għajnsielem, Għajnsielem, 
GSM 2400, Għajnsielem, Għajnsielem, 
GSM 2480, Għajnsielem, Għajnsielem, 
