A-DATA Technology AD5U48008G-B 8GB, 44, 17.4, 14.2, DDR5,
A-DATA Technology AD5U480016G-B 16GB, 25, 13.5, 11.2, DDR5,
A-DATA Technology AX5U5200C3816G-B 16GB, 33, 15.9, 13.6, DDR5,
A-DATA Technology AX5U6000C4016G-B 16GB, 35, 18, 15.3, DDR5,
Corsair CM5S16GM4800A40K2 16GB, 24, 13.4, 12.4, DDR5,
Corsair CM5S16GM4800A40N2 16GB, 24, 13.9, 12.4, DDR5,
Corsair CMK32GX5M2A4800C40 16GB, 32, 14.8, 13, DDR5,
Corsair CMK32GX5M2B5200C40 16GB, 32, 15.9, 13.8, DDR5,
Corsair CMK32GX5M2B5600C36 16GB, 32, 17, 14.8, DDR5,
Corsair CMK64GX5M2B5200C40 32GB, 35, 16.7, 15, DDR5,
Corsair CMT32GX5M2B5200C38 16GB, 27, 15, 13.1, DDR5,
Corsair CMT32GX5M2B5200C40 16GB, 28, 15.2, 13.1, DDR5,
Corsair CMT32GX5M2B5600C36 16GB, 32, 17.7, 15.1, DDR5,
Corsair CMT32GX5M2X5600C36 16GB, 29, 16.4, 14.2, DDR5,
Corsair CMT32GX5M2X6200C36 16GB, 31, 16.9, 14.9, DDR5,
Corsair CMT64GX5M2B5200C40 32GB, 42, 16.8, 15.9, DDR5,
Corsair CMTS16GM4800A40T2 16GB, 24, 13.3, 12.1, DDR5,
Crucial Technology CT8G48C40U5.M4A1 8GB, 34, 15.7, 12.3, DDR5,
Crucial Technology CT16G48C40U5.M8A1 16GB, 27, 15.5, 12.6, DDR5,
Crucial Technology CT32G48C40U5.M16A1 32GB, 31, 14.9, 13.7, DDR5,
G Skill Intl F5-5200U4040A16G 16GB, 45, 19.5, 16.2, DDR5,
G Skill Intl F5-5600J3636C16G 16GB, 44, 19, 16, DDR5,
G Skill Intl F5-5600J4040C16G 16GB, 22, 14.9, 13.5, DDR5,
G Skill Intl F5-5600U3636C16G 16GB, 25, 14.4, 13, DDR5,
G Skill Intl F5-6000J3636F16G 16GB, 30, 16.6, 14.6, DDR5,
G Skill Intl F5-6000J4040F16G 16GB, 33, 18, 15.3, DDR5,
G Skill Intl F5-6000U3636E16G 16GB, 30, 18.9, 16.1, DDR5,
G Skill Intl F5-6000U4040E16G 16GB, 30, 17.1, 14.6, DDR5,
G Skill Intl F5-6400J3239G16G 16GB, 35, 19.6, 16.6, DDR5,
GIGA - BYTE Technology Co Ltd GP-ARS32G52D5 16GB, 33, 16.2, 14, DDR5,
Golden Empire CL34-38-38 D5-5200 16GB, 29, 15, 13.7, DDR5,
Kingston 9905783-025.A01G 16GB, 41, 17.8, 15.2, DDR5,
Kingston KF548C38-16 16GB, 37, 16.7, 14.1, DDR5,
Kingston KF552C40-16 16GB, 35, 16.5, 13.8, DDR5,
Kingston KF552C40-32 32GB, 44, 20.4, 16.7, DDR5,
Kingston KF556C40-8 8GB, 48, 17.1, 14.6, DDR5,
Kingston KF556C40-16 16GB, 32, 16.3, 13.7, DDR5,
Kingston KF556C40-32 32GB, 42, 20.1, 17.1, DDR5,
Kingston KF560C40-16 16GB, 35, 18.5, 15.3, DDR5,
Samsung M323R2GA3BB0-CQKOD 16GB, 25, 13.4, 12.1, DDR5,
Team Group Inc. UD5-6400 16GB, 37, 17.4, 15.1, DDR5,
A Force Manufacturing Ltd. UD-01G64V2133P 8GB, 29, 17.5, 12.8, DDR4,
A-DATA Technology 11137401 8GB, 40, 15.1, 7.3, DDR4,
A-DATA Technology AD4S320038G22-B 8GB, 41, 15.2, 10.4, DDR4,
A-DATA Technology AD4S3200316G22-BHYD 16GB, 66, 13.9, 13.2, DDR4,
A-DATA Technology AD4U240038G17-BHYA 8GB, 23, 14.4, 9, DDR4,
A-DATA Technology AE4S240038G17-BHYA 8GB, 38, 14.2, 10.7, DDR4,
A-DATA Technology AM1P24HC4R1-BUNS 4GB, 31, 15, 11.9, DDR4,
A-DATA Technology AM1P24HC8T1-BBJS 8GB, 41, 14.9, 6.9, DDR4,
A-DATA Technology AM1P26KC4U1-BACS 4GB, 44, 12.3, 11.3, DDR4,
A-DATA Technology AM1P26KC8T1-BAAS 8GB, 45, 14.9, 8.1, DDR4,
A-DATA Technology AM1P26KCST2-BABS 16GB, 41, 15.5, 14.1, DDR4,
A-DATA Technology AM2P24HC4R1-BUPS 4GB, 28, 14.5, 7.1, DDR4,
A-DATA Technology AM2P24HC8T1-BBFS 8GB, 31, 16.4, 12.1, DDR4,
A-DATA Technology AM2P24HC8T1-BUSS 8GB, 31, 15.5, 9.7, DDR4,
A-DATA Technology AM2P26KC8T1-BXRS 8GB, 29, 14.9, 10.7, DDR4,
A-DATA Technology AM2P32NC8W1-BCFS 8GB, 35, 16.8, 9.5, DDR4,
A-DATA Technology AO1E34RCSV1-BD7S 16GB, 59, 16.2, 13.7, DDR4,
A-DATA Technology AO1E34RCSV1-BF1S 16GB, 58, 16.4, 13.2, DDR4,
A-DATA Technology AO1E34RCTV2-BZWS 32GB, 60, 16.6, 15.3, DDR4,
A-DATA Technology AO1P21FC8T1-BSKS 8GB, 36, 13.6, 8.7, DDR4,
A-DATA Technology AO1P24HC4N2-BWCS 4GB, 126, 12.9, 6.5, DDR4,
A-DATA Technology AO1P24HC4N2-BYNS 4GB, 46, 14.5, 12, DDR4,
A-DATA Technology AO1P24HC4R1-BSIS 4GB, 36, 14.9, 8.2, DDR4,
A-DATA Technology AO1P24HC4R1-BUYS 4GB, 24, 15.1, 11.8, DDR4,
A-DATA Technology AO1P24HC8T1-BPGS 8GB, 74, 12.9, 5.9, DDR4,
A-DATA Technology AO1P24HC8T1-BQXS 8GB, 40, 13.6, 9.2, DDR4,
A-DATA Technology AO1P24HC8T1-BSFS 8GB, 34, 14.4, 10.1, DDR4,
A-DATA Technology AO1P24HCST2-BSCS 16GB, 28, 17, 13.6, DDR4,
A-DATA Technology AO1P26KC8T1-BPXS 8GB, 106, 13.1, 5.6, DDR4,
A-DATA Technology AO1P26KC8T1-BXFSHC 8GB, 34, 14.5, 12.1, DDR4,
A-DATA Technology AO1P26KC8T1-BXPS 8GB, 85, 12, 5.4, DDR4,
A-DATA Technology AO1P26KCST2-BWWS 16GB, 33, 15.6, 14.6, DDR4,
A-DATA Technology AO1P26KCST2-BZISHC 16GB, 36, 15.5, 14.2, DDR4,
