KY-036, metal touch, 
MPU-9250, 3-Axis Accelerometer/ Gyroscope and Magnetometer, 
ADXL345, 3-axis accelerometer,
MPU-6050, 3-Axis Accelerometer and Gyroscope, 
GY-21P, BMP280 + S17021 - Barometric Pressure/ Altitude/ Temperature and Humidity, 
BMP280, Barometric Pressure and Altitude, 
S17021, Temperature and Humidity, 
KY-026, flame - IR light,
KY-039, heartbeat, 
GY-91, MPU9250 + BMP280 - 3-Axis Accelerometer/ Gyroscope/ Magnetometer/ Barometric Pressure and Altitude, 
HC-SR04, Ultrasonic, 
RCWL-1601, Ultrasonic Distance Sensor with I2C Interface, 
MQ-2, Methane/ Butane/ LPG/ Smoke, 
MQ-3, Alcohol/ Ethanol/ Smoke, 
MQ-4, Methane/ CNG Gas, 
MQ-5, Natural gas/ LPG, 
MQ-6, LPG/ butane, 
MQ-7, Carbon Monoxide, 
MQ-8, Hydrogen Gas, 
MQ-9, Carbon Monoxide/ flammable gasses, 
MQ131, Ozone, 
MQ135, Air Quality, 
MQ136, Hydrogen Sulphide gas, 
MQ137, Ammonia, 
MQ138, Benzene/ Toluene/ Alcohol/ Propane/ / ormaldehyde gas/ Hydrogen 
MQ214, Methane/ Natural Gas, 
MQ216, Natural gas/ Coal Gas, 
MQ303A, Alcohol/ Ethanol/ smoke, 
MQ306A, LPG/ butane, 
MQ307A, Carbon Monoxide, 
MQ309A, Carbon Monoxide/ flammable gas, 
SI1145, Digital UV Index/ IR/ Visible Light, 
ALS-PT19, Analog Light Sensor Breakout, 
SPH0645LM4H, Adafruit I2S MEMS Microphone Breakout, 
SI4432, 433MHz Wireless Module Transceiver, 
NRF24L01+, Wireless RF Transceiver Modules 2.4Ghz, 
HC-05, Bluetooth Wireless Serial Transceiver Module, 
HC-06, Bluetooth Wireless Serial Transceiver Module, 
FS1000A: 433MHZ RF transmitter Module, 
XY-MK-5V, 433MHZ RF Receiver Module, 
LM2596, DC To DC 3.0A Step-Down Adjustable, 
MP1584 Buck / Step Down 3A Adjustable, 
MT3608, DC To DC Step Up Boost Converter Module, 
TP4056, 3.7V Li-ion 18650 Battery Charger Module, 
