SI-016, Municipality of Črna na Koroškem, Občina Črna na Koroškem, Črna na Koroškem, 3473, Carinthia, 
SI-025, Municipality of Dravograd, Občina Dravograd, Dravograd, 8989, Carinthia, 
SI-077, Municipality of Moravče, Občina Moravče, Moravče, 5129, Carinthia, 
SI-082, Municipality of Naklo, Občina Naklo, Naklo, 5337, Carinthia, 
SI-171, Municipality of Oplotnica, Občina Oplotnica, Oplotnica, 4029, Carinthia, 
SI-175, Municipality of Prevalje, Občina Prevalje, Prevalje, 6814, Carinthia, 
SI-101, Municipality of Radlje ob Dravi, Občina Radlje ob Dravi, Radlje ob Dravi, 6311, Carinthia, 
SI-177, Municipality of Ribnica na Pohorju, Občina Ribnica na Pohorju, Ribnica na Pohorju, 1198, Carinthia, 
SI-105, Municipality of Rogašovci, Občina Rogašovci, Rogašovci, 3178, Carinthia, 
SI-109, Municipality of Semič, Občina Semič, Semič, 3832, Carinthia, 
SI-179, Municipality of Sodražica, Občina Sodražica, Sodražica, 2187, Carinthia, 
SI-143, Municipality of Zavrč, Občina Zavrč, Zavrč, 1740, Carinthia, 
SI-037, Municipality of Ig, Občina Ig, Ig, 7016, Central Sava, 
SI-064, Municipality of Logatec, Občina Logatec, Logatec, 13694, Central Sava, 
SI-165, Municipality of Kostel, Občina Kostel, Vas, 644, Central Sava, 
SI-146, Municipality of Železniki, Občina Železniki, Železniki, 6789, Central Sava, 
SI-006, Municipality of Bovec, Občina Bovec, Bovec, 3195, Central Slovenia, 
SI-201, Municipality of Renče-Vogrsko, Občina Renče - Vogrsko, Bukovica, 4309, Central Slovenia, 
SI-155, Municipality of Dobrna, Občina Dobrna, Dobrna, 2195, Central Slovenia, 
SI-156, Municipality of Dobrovnik, Občina Dobrovnik, Dobrovnik, 1319, Central Slovenia, 
SI-022, Municipality of Dol pri Ljubljani, Občina Dol pri Ljubljani, Dol pri Ljubljani, 5666, Central Slovenia, 
SI-023, Municipality of Domžale, Občina Domžale, Domžale, 34455, Central Slovenia, 
SI-162, Municipality of Horjul, Občina Horjul, Horjul, 2909, Central Slovenia, 
SI-036, Municipality of Idrija, Občina Idrija, Idrija, 11938, Central Slovenia, 
SI-040, Municipality of Izola, Občina Izola, Izola, 15952, Central Slovenia, 
SI-210, Municipality of Sveti Jurij v Slovenskih Goricah, Občina Sveti Jurij v Slovenskih goricah, Jurovski Dol, 2109, Central Slovenia, 
SI-046, Municipality of Kobarid, Občina Kobarid, Kobarid, 4189, Central Slovenia, 
SI-051, Municipality of Kozje, Občina Kozje, Kozje, 3177, Central Slovenia, 
SI-167, Municipality of Lovrenc na Pohorju, Občina Lovrenc na Pohorju, Lovrenc na Pohorju, 3096, Central Slovenia, 
SI-069, Municipality of Majšperk, Občina Majšperk, Majšperk, 3980, Central Slovenia, 
SI-198, Municipality of Makole, Občina Makole, Makole, 2037, Central Slovenia, 
SI-073, Municipality of Metlika, Občina Metlika, Metlika, 8373, Central Slovenia, 
SI-170, Municipality of Mirna Peč, Občina Mirna Peč, Mirna Peč, 2846, Central Slovenia, 
SI-076, Municipality of Mislinja, Občina Mislinja, Mislinja, 4666, Central Slovenia, 
SI-084, Urban Municipality of Nova Gorica, Mestna občina Nova Gorica, Nova Gorica, 31938, Central Slovenia, 
SI-194, Municipality of Šmartno pri Litiji, Občina Šmartno pri Litiji, Šmartno pri Litiji, 5522, Central Slovenia, 
SI-065, Municipality of Loška Dolina, Občina Loška dolina, Stari Trg pri Ložu, 3871, Central Slovenia, 
SI-188, Municipality of Veržej, Občina Veržej, Veržej, 1299, Central Slovenia, 
SI-137, Municipality of Vitanje, Občina Vitanje, Vitanje, 2267, Central Slovenia, 
SI-140, Municipality of Vrhnika, Občina Vrhnika, Vrhnika, 16543, Central Slovenia, 
SI-190, Municipality of Žalec, Občina Žalec, Žalec, 21413, Central Slovenia, 
SI-213, Municipality of Ankaran, Občina Ankaran, Ankaran, 3239, Coastal-Karst, 
SI-019, Municipality of Divača, Občina Divača, Divača, 3896, Coastal-Karst, 
SI-038, Municipality of Ilirska Bistrica, Občina Ilirska Bistrica, Ilirska Bistrica, 13866, Coastal-Karst, 
SI-042, Municipality of Juršinci, Občina Juršinci, Juršinci, 2388, Coastal-Karst, 
SI-197, Municipality of Kostanjevica na Krki, Občina Kostanjevica na Krki, Kostanjevica na Krki, 2416, Coastal-Karst, 
SI-052, Urban Municipality of Kranj, Mestna občina Kranj, Kranj, 55527, Coastal-Karst, 
SI-173, Municipality of Polzela, Občina Polzela, Polzela, 5995, Coastal-Karst, 
SI-124, Municipality of Šmarje pri Jelšah, Občina Šmarje pri Jelšah, Šmarje pri Jelšah, 10278, Coastal-Karst, 
SI-148, Municipality of Benedikt, Občina Benedikt, Benedikt, 2430, Drava, 
SI-153, Municipality of Cerkvenjak, Občina Cerkvenjak, Cerkvenjak, 2009, Drava, 
SI-196, Municipality of Cirkulane, Občina Cirkulane, Cirkulane, 2312, Drava, 
SI-018, Municipality of Destrnik, Občina Destrnik, Destrnik, 2582, Drava, 
SI-024, Municipality of Dornava, Občina Dornava, Dornava, 2907, Drava, 
SI-027, Municipality of Gorenja Vas-Poljane, Občina Gorenja vas - Poljane, Gorenja Vas, 7307, Drava, 
SI-029, Municipality of Gornja Radgona, Občina Gornja Radgona, Gornja Radgona, 8576, Drava, 
SI-034, Municipality of Hrastnik, Občina Hrastnik, Hrastnik, 9713, Drava, 
SI-066, Municipality of Loški Potok, Občina Loški Potok, Hrib-Loški Potok, 1932, Drava, 
SI-045, Municipality of Kidričevo, Občina Kidričevo, Kidričevo, 6627, Drava, 
