Ariana, North East, Ariana, 482, 576,088, 635,222, TN.AN, 12, TS38, 20, 
Béja, North West, Béja, 3,740, 303,032, 319,291, TN.BJ, 31, TS17, 90, 
Ben Arous, North East, Ben Arous, 761, 631,842, 765,712, TN.BA, 13, TS27, 1120, 
Bizerte, North East, Bizerte, 3,750, 568,219, 568,219, TN.BZ, 23, TS18, 70, 
Gabès, South East, Gabès, 7,166, 374,300, 524,634, TN.GB, 81, TS29, 60, 
Gafsa, South West, Gafsa, 7,807, 337,331, 344,516, TN.GF, 71, TS30, 21, 
Jendouba, North West, Jendouba, 3,102, 401,477, 401,477, TN.JE, 32, TS06, 81, 
Kairouan, Centre West, Kairouan, 6,712, 570,559, 576,357, TN.KR, 41, TS03, 31, 
Kasserine, Centre West, Kasserine, 8,260, 439,243, 454,944, TN.KS, 42, TS02, 12, 
Kebili, South West, Kebili, 22,454, 156,961, 177,286, TN.KB, 73, TS31, 42, 
Kef, North West, Le Kef, 4,965, 243,156, 259,811, TN.KF, 33, TS14, 71, 
Mahdia, Centre East, Mahdia, 2,966, 410,812, 436,025, TN.MH, 53, TS15, 51, 
Manouba, North East, Manouba, 1,137, 379,518, 394,131, TN.MN, 14, TS39, 1120, 
Medenine, South East, Medenine, 9,167, 479,520, 499,210, TN.ME, 82, TS28, 41, 
Monastir, Centre East, Monastir, 1,019, 548,828, 583,684, TN.MS, 52, TS16, 50, 
Nabeul, North East, Nabeul, 2,788, 787,920, 787,920, TN.NB, 21, TS19, 80, 
Sfax, Centre East, Sfax, 7,545, 955,421, 995,503, TN.SF, 61, TS32, 30, 
Sidi Bouzid, Centre West, Sidi Bouzid, 7,405, 429,912, 438,885, TN.SZ, 43, TS33, 91, 
Siliana, North West, Siliana, 4,642, 223,087, 204,630, TN.SL, 34, TS22, 61, 
Sousse, Centre East, Sousse, 2,669, 674,971, 717,864, TN.SS, 51, TS23, 40, 
Tataouine, South East, Tataouine, 38,889, 149,453, 149,453, TN.TA, 83, TS34, 32, 
Tozeur, South West, Tozeur, 5,593, 107,912, 109,194, TN.TO, 72, TS35, 22, 
Tunis, North East, Tunis, 288, 1,056,247, 1,303,271, TN.TU, 11, TS36, 1020, 
Zaghouan, North East, Zaghouan, 2,820, 176,945, 175,628, TN.ZA, 22, TS37, 11, 
