Name, Postal Abbreviation, Capital City, Largest City, Ratification or Admission, Population, Total Area [km2], Land Area [km2], Water Area [km2], # Representatives, # Counties, 
Alabama, AL, Montgomery, Huntsville, Dec 14 1819, 5024279, 135767, 131171, 4597, 7, 67, 
Alaska, AK, Juneau, Anchorage, Jan 3 1959, 733391, 1723337, 1477953, 245384, 1, 29, 
Arizona, AZ, Phoenix, Phoenix, Feb 14 1912, 7151502, 295234, 294207, 1026, 9, 15, 
Arkansas, AR, Little Rock, Little Rock, Jun 15 1836, 3011524, 137732, 134771, 2961, 4, 75, 
California, CA, Sacramento, Los Angeles, Sep 9 1850, 39538223, 423967, 403466, 20501, 53, 58, 
Colorado, CO, Denver, Denver, Aug 1 1876, 5773714, 269601, 268431, 1170, 7, 64, 
Connecticut, CT, Hartford, Bridgeport, Jan 9 1788, 3605944, 14357, 12542, 1816, 5, 8, 
Delaware, DE, Dover, Wilmington, Dec 7 1787, 989948, 6446, 5047, 1399, 1, 3, 
Florida, FL, Tallahassee, Jacksonville, Mar 3 1845, 21538187, 170312, 138887, 31424, 27, 67, 
Georgia, GA, Atlanta, Atlanta, Jan 2 1788, 10711908, 153910, 148959, 4951, 14, 159, 
Hawaii, HI, Honolulu, Honolulu, Aug 21 1959, 1455271, 28313, 16635, 11678, 2, 5, 
Idaho, ID, Boise, Boise, Jul 3 1890, 1839106, 216443, 214045, 2398, 2, 44, 
Illinois, IL, Springfield, Chicago, Dec 3 1818, 12812508, 149995, 143793, 6202, 18, 102, 
Indiana, IN, Indianapolis, Indianapolis, Dec 11 1816, 6785528, 94326, 92789, 1537, 9, 92, 
Iowa, IA, Des Moines, Des Moines, Dec 28 1846, 3190369, 145746, 144669, 1077, 4, 99, 
Kansas, KS, Topeka, Wichita, Jan 29 1861, 2937880, 213100, 211754, 1346, 4, 105, 
Kentucky, KY, Frankfort, Louisville, Jun 1 1792, 4505836, 104656, 102269, 2387, 6, 120, 
Louisiana, LA, Baton Rouge, New Orleans, Apr 30 1812, 4657757, 135659, 111898, 23761, 6, 64, 
Maine, ME, Augusta, Portland, Mar 15 1820, 1362359, 91633, 79883, 11750, 2, 16, 
Maryland, MD, Annapolis, Baltimore, Apr 28 1788, 6177224, 32131, 25142, 6990, 8, 24, 
Massachusetts, MA, Boston, Boston, Feb 6 1788, 7029917, 27336, 20202, 7134, 9, 14, 
Michigan, MI, Lansing, Detroit, Jan 26 1837, 10077331, 250487, 146435, 104052, 14, 83, 
Minnesota, MN, St. Paul, Minneapolis, May 11 1858, 5706494, 225163, 206232, 18930, 8, 87, 
Mississippi, MS, Jackson, Jackson, Dec 10 1817, 2961279, 125438, 121531, 3907, 4, 82, 
Missouri, MO, Jefferson City, Kansas City, Aug 10 1821, 6154913, 180540, 178040, 2501, 8, 114+1, 
Montana, MT, Helena, Billings, Nov 8 1889, 1084225, 380831, 376962, 3869, 1, 56, 
Nebraska, NE, Lincoln, Omaha, Mar 1 1867, 1961504, 200330, 198974, 1356, 3, 93, 
Nevada, NV, Carson City, Las Vegas, Oct 31 1864, 3104614, 286380, 284332, 2048, 4, 16+1, 
New Hampshire, NH, Concord, Manchester, Jun 21 1788, 1377529, 24214, 23187, 1027, 2, 10, 
New Jersey, NJ, Trenton, Newark, Dec 18 1787, 9288994, 22591, 19047, 3544, 12, 21, 
New Mexico, NM, Santa Fe, Albuquerque, Jan 6 1912, 2117522, 314917, 314161, 757, 3, 33, 
New York, NY, Albany, New York City, Jul 26 1788, 20201249, 141297, 122057, 19240, 27, 62, 
North Carolina, NC, Raleigh, Charlotte, Nov 21 1789, 10439388, 139391, 125920, 13471, 13, 100, 
North Dakota, ND, Bismarck, Fargo, Nov 2 1889, 779094, 183108, 178711, 4397, 1, 53, 
Ohio, OH, Columbus, Columbus, Mar 1 1803, 11799448, 116098, 105829, 10269, 16, 88, 
Oklahoma, OK, Oklahoma City, Oklahoma City, Nov 16 1907, 3959353, 181037, 177660, 3377, 5, 77, 
Oregon, OR, Salem, Portland, Feb 14 1859, 4237256, 254799, 248608, 6191, 5, 36, 
Pennsylvania, PA, Harrisburg, Philadelphia, Dec 12 1787, 13002700, 119280, 115883, 3397, 18, 67, 
Rhode Island, RI, Providence, Providence, May 29 1790, 1097379, 4001, 2678, 1324, 2, 5, 
South Carolina, SC, Columbia, Charleston, May 23 1788, 5118425, 82933, 77857, 5076, 7, 46, 
South Dakota, SD, Pierre, Sioux Falls, Nov 2 1889, 886667, 199729, 196350, 3379, 1, 66, 
Tennessee, TN, Nashville, Nashville, Jun 1 1796, 6910840, 109153, 106798, 2355, 9, 95, 
Texas, TX, Austin, Houston, Dec 29 1845, 29145505, 695662, 676587, 19075, 36, 254, 
Utah, UT, Salt Lake City, Salt Lake City, Jan 4 1896, 3271616, 219882, 212818, 7064, 4, 29, 
Vermont, VT, Montpelier, Burlington, Mar 4 1791, 643077, 24906, 23871, 1035, 1, 14, 
Virginia, VA, Richmond, Virginia Beach, Jun 25 1788, 8631393, 110787, 102279, 8508, 11, 133, 
Washington, WA, Olympia, Seattle, Nov 11 1889, 7705281, 184661, 172119, 12542, 10, 39, 
West Virginia, WV, Charleston, Charleston, Jun 20 1863, 1793716, 62756, 62259, 497, 3, 55, 
Wisconsin, WI, Madison, Milwaukee, May 29 1848, 5893718, 169635, 140268, 29367, 8, 72, 
Wyoming, WY, Cheyenne, Cheyenne, Jul 10 1890, 576851, 253335, 251470, 1864, 1, 23, 
