Site, Country, Type, 
www.ssb.no, Norway, , 
www.gnr.pt, Portugal, , 
www.psp.pt, Portugal, , 
www.mcc-mnc.com, World, , 
infostat.nsi.bg, Bulgaria , , 
www.nsi.bg, Bulgaria , , 
www.cia.gov, , , 
www.bl.government.bg, , , 
www.rust-lang.org, World, , 
nodejs.org, World, , 
www.python.org, World, , 
developer.android.com, World, , 
www.stat.si, Slovenia, , 
www.ine.es, Spain, , 
www.ine.pt, Portugal, , 
www.ec.europa.eu, Europe, , 
www.bzst.de, Germany, , 
tourism.gov.pk, Pakistan, , 
pakistan.gov.pk, Pakistan, , 
www.metrodoporto.pt, Portugal, , 
www.stcp.pt, Portugal, , 
anacom.pt, Portugal, , 
finance.yahoo.com, World, , 
eportugal.gov.pt, Portugal, , 
online.portal.bzst.de, Germany, , 
www.bundesfinanzministerium.de, Germany, , 
www.european-union.europa.eu, Europe, , 
www.easa.europa.eu, Europe, , 
www.nist.gov, America, , 
statbel.fgov.be, Belgium, , 
www.eurocontrol.int, , , 
www.nasa.gov, America, , 
www.jpl.nasa.gov, America, , 
webb.nasa.gov, America, , 
science.nasa.gov, America, , 
www.gov.uk, UK, , 
www.ncsc.gov.uk, UK, , 
www.esa.int, Europe, , 
www.bluetooth.com, World, , 
mathworks.com, World, , 
www.destatis.de, Germany, , 
www-genesis.destatis.de, Germany, , 
unstats.un.org, World, , 
data.who.int, World, , 
www.who.int, World, , 
nso.gov.mt, Malta, , 
divizjonitalgvernlokali.gov.mt, Malta, , 
www.regjunnofsinhar.org, World, , 
artscouncilmalta.gov.mt, Malta, , 
population.un.org, World, , 
www.gov.mt, Malta, , 
www.worldbank.org, World, , 
www.centralbankmalta.org, , , 
www.ecb.europa.eu, Europe, , 
data.ecb.europa.eu, Europe, , 
www.iscap.ipp.pt, Portugal, , 
www.ipp.pt, Portugal, , 
www.ietf.org, World, , 
www.rfc-editor.org, World, , 
www.pmi.org, World, , 
oauth.net, World, , 
iata.org, World, 
